model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Linear SRDiff [fixed K],2023,linear_b10_dz0.00|fixed,792,0.191959,0.564162,0.70328
Linear SRDiff [fixed K],2024,linear_b10_dz0.00|fixed,798,0.206264,0.595783,0.66917
Linear SRDiff [fixed K],2025,linear_b10_dz0.00|fixed,808,0.188903,0.554046,0.71163
Linear SRDiff [fixed K],2026,linear_b10_dz0.00|fixed,157,0.159361,0.496462,0.78981
Dead-zone SRDiff [normalized K],2011,linear_b8_dz0.05|norm,715,0.181918,0.536861,0.72308
Dead-zone SRDiff [normalized K],2012,linear_b6_dz0.02|norm,732,0.178453,0.528283,0.7418
Dead-zone SRDiff [normalized K],2013,linear_b6_dz0.03|norm,737,0.166679,0.497642,0.73677
Dead-zone SRDiff [normalized K],2014,linear_b7_dz0.04|norm,760,0.186224,0.546448,0.70132
Dead-zone SRDiff [normalized K],2015,linear_b9_dz0.05|norm,765,0.170964,0.512193,0.74771
Dead-zone SRDiff [normalized K],2016,linear_b8_dz0.04|norm,760,0.191978,0.561596,0.70132
Dead-zone SRDiff [normalized K],2017,linear_b8_dz0.04|norm,776,0.193479,0.565298,0.68814
Dead-zone SRDiff [normalized K],2018,linear_b8_dz0.05|norm,772,0.177094,0.526055,0.73575
Dead-zone SRDiff [normalized K],2019,linear_b8_dz0.05|norm,774,0.17794,0.526706,0.73643
Dead-zone SRDiff [normalized K],2020,linear_b8_dz0.05|norm,534,0.194302,0.57358,0.70412
Dead-zone SRDiff [normalized K],2021,linear_b8_dz0.05|norm,770,0.188719,0.553425,0.69351
Dead-zone SRDiff [normalized K],2022,linear_b7_dz0.04|norm,776,0.205321,0.599264,0.66753
Dead-zone SRDiff [normalized K],2023,linear_b7_dz0.04|norm,792,0.188326,0.55563,0.70581
Dead-zone SRDiff [normalized K],2024,linear_b7_dz0.05|norm,798,0.204463,0.591904,0.67419
Dead-zone SRDiff [normalized K],2025,linear_b7_dz0.05|norm,808,0.185366,0.545406,0.71906
Dead-zone SRDiff [normalized K],2026,linear_b7_dz0.05|norm,157,0.159206,0.498111,0.78981
Dead-zone SRDiff [fixed K],2011,linear_b10_dz0.01|fixed,715,0.18196,0.538157,0.72448
Dead-zone SRDiff [fixed K],2012,linear_b10_dz0.01|fixed,732,0.182752,0.538379,0.71721
Dead-zone SRDiff [fixed K],2013,linear_b10_dz0.01|fixed,737,0.170095,0.508408,0.73677
Dead-zone SRDiff [fixed K],2014,linear_b10_dz0.01|fixed,760,0.184735,0.543378,0.725
Dead-zone SRDiff [fixed K],2015,linear_b10_dz0.01|fixed,765,0.172561,0.518832,0.75817
Dead-zone SRDiff [fixed K],2016,linear_b10_dz0.01|fixed,760,0.192673,0.563247,0.70526
Dead-zone SRDiff [fixed K],2017,linear_b10_dz0.01|fixed,776,0.194865,0.568823,0.69845
Dead-zone SRDiff [fixed K],2018,linear_b10_dz0.01|fixed,772,0.178763,0.532341,0.73057
Dead-zone SRDiff [fixed K],2019,linear_b10_dz0.01|fixed,774,0.178258,0.529179,0.73256
Dead-zone SRDiff [fixed K],2020,linear_b10_dz0.01|fixed,534,0.193968,0.570926,0.69288
Dead-zone SRDiff [fixed K],2021,linear_b10_dz0.01|fixed,770,0.189535,0.555744,0.6974
Dead-zone SRDiff [fixed K],2022,linear_b10_dz0.01|fixed,776,0.204533,0.595918,0.66881
Dead-zone SRDiff [fixed K],2023,linear_b10_dz0.01|fixed,792,0.191629,0.563279,0.70328
Dead-zone SRDiff [fixed K],2024,linear_b10_dz0.01|fixed,798,0.206056,0.59501,0.66792
Dead-zone SRDiff [fixed K],2025,linear_b10_dz0.01|fixed,808,0.188817,0.553931,0.71163
Dead-zone SRDiff [fixed K],2026,linear_b10_dz0.01|fixed,157,0.159311,0.496074,0.79618
