config,family,k_mode,K,shape,beta,dead_zone,floor,ceiling,sat_A,games,brier,log_loss,accuracy
linear_b2_dz0.01_f0.50-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.5,2.5,,11426,0.191162,0.562744,0.70506
linear_b2_dz0.01_f0.60-c1.50|norm,Bounded SRDiff,normalized,74.971,linear,2,0.01,0.6,1.5,,11426,0.187002,0.550261,0.71057
linear_b2_dz0.01_f0.60-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.6,1.5,,11426,0.191425,0.563433,0.70488
linear_b2_dz0.01_f0.60-c1.75|norm,Bounded SRDiff,normalized,74.465,linear,2,0.01,0.6,1.75,,11426,0.186844,0.549885,0.71145
linear_b2_dz0.01_f0.60-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.6,1.75,,11426,0.191193,0.562832,0.70515
linear_b2_dz0.01_f0.60-c2.00|norm,Bounded SRDiff,normalized,74.378,linear,2,0.01,0.6,2.0,,11426,0.186828,0.549844,0.71171
linear_b2_dz0.01_f0.60-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.6,2.0,,11426,0.191165,0.562754,0.70506
linear_b2_dz0.01_f0.60-c2.25|norm,Bounded SRDiff,normalized,74.365,linear,2,0.01,0.6,2.25,,11426,0.186827,0.549842,0.71171
linear_b2_dz0.01_f0.60-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.6,2.25,,11426,0.191163,0.562747,0.70506
linear_b2_dz0.01_f0.60-c2.50|norm,Bounded SRDiff,normalized,74.365,linear,2,0.01,0.6,2.5,,11426,0.186827,0.549841,0.71171
linear_b2_dz0.01_f0.60-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.6,2.5,,11426,0.191163,0.562746,0.70506
linear_b2_dz0.01_f0.70-c1.50|norm,Bounded SRDiff,normalized,74.923,linear,2,0.01,0.7,1.5,,11426,0.187015,0.550292,0.71048
linear_b2_dz0.01_f0.70-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.7,1.5,,11426,0.191431,0.563447,0.70506
linear_b2_dz0.01_f0.70-c1.75|norm,Bounded SRDiff,normalized,74.417,linear,2,0.01,0.7,1.75,,11426,0.186858,0.549916,0.71145
linear_b2_dz0.01_f0.70-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.7,1.75,,11426,0.191199,0.562845,0.70515
linear_b2_dz0.01_f0.70-c2.00|norm,Bounded SRDiff,normalized,74.331,linear,2,0.01,0.7,2.0,,11426,0.186842,0.549875,0.71145
linear_b2_dz0.01_f0.70-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.7,2.0,,11426,0.191171,0.562767,0.70506
linear_b2_dz0.01_f0.70-c2.25|norm,Bounded SRDiff,normalized,74.318,linear,2,0.01,0.7,2.25,,11426,0.186841,0.549872,0.71145
linear_b2_dz0.01_f0.70-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.7,2.25,,11426,0.191169,0.56276,0.70515
linear_b2_dz0.01_f0.70-c2.50|norm,Bounded SRDiff,normalized,74.318,linear,2,0.01,0.7,2.5,,11426,0.186841,0.549872,0.71145
linear_b2_dz0.01_f0.70-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.7,2.5,,11426,0.191169,0.562759,0.70515
linear_b2_dz0.01_f0.75-c1.50|norm,Bounded SRDiff,normalized,74.852,linear,2,0.01,0.75,1.5,,11426,0.187025,0.550317,0.7104
linear_b2_dz0.01_f0.75-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.75,1.5,,11426,0.191436,0.563459,0.70515
linear_b2_dz0.01_f0.75-c1.75|norm,Bounded SRDiff,normalized,74.347,linear,2,0.01,0.75,1.75,,11426,0.186867,0.549941,0.7111
linear_b2_dz0.01_f0.75-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.75,1.75,,11426,0.191204,0.562857,0.70515
linear_b2_dz0.01_f0.75-c2.00|norm,Bounded SRDiff,normalized,74.261,linear,2,0.01,0.75,2.0,,11426,0.186851,0.5499,0.71119
linear_b2_dz0.01_f0.75-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.75,2.0,,11426,0.191176,0.562779,0.70506
linear_b2_dz0.01_f0.75-c2.25|norm,Bounded SRDiff,normalized,74.248,linear,2,0.01,0.75,2.25,,11426,0.18685,0.549897,0.71119
linear_b2_dz0.01_f0.75-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.75,2.25,,11426,0.191174,0.562772,0.70497
linear_b2_dz0.01_f0.75-c2.50|norm,Bounded SRDiff,normalized,74.248,linear,2,0.01,0.75,2.5,,11426,0.18685,0.549897,0.71119
linear_b2_dz0.01_f0.75-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.01,0.75,2.5,,11426,0.191173,0.562771,0.70497
linear_b2_dz0.02_f0.50-c1.50|norm,Bounded SRDiff,normalized,75.475,linear,2,0.02,0.5,1.5,,11426,0.187082,0.550461,0.71031
linear_b2_dz0.02_f0.50-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.5,1.5,,11426,0.19157,0.563819,0.70375
linear_b2_dz0.02_f0.50-c1.75|norm,Bounded SRDiff,normalized,75.032,linear,2,0.02,0.5,1.75,,11426,0.186941,0.550121,0.71162
linear_b2_dz0.02_f0.50-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.5,1.75,,11426,0.191361,0.563278,0.70445
linear_b2_dz0.02_f0.50-c2.00|norm,Bounded SRDiff,normalized,74.955,linear,2,0.02,0.5,2.0,,11426,0.186928,0.550088,0.71171
linear_b2_dz0.02_f0.50-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.5,2.0,,11426,0.191338,0.563213,0.70436
linear_b2_dz0.02_f0.50-c2.25|norm,Bounded SRDiff,normalized,74.944,linear,2,0.02,0.5,2.25,,11426,0.186927,0.550085,0.71162
linear_b2_dz0.02_f0.50-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.5,2.25,,11426,0.191336,0.563206,0.70436
linear_b2_dz0.02_f0.50-c2.50|norm,Bounded SRDiff,normalized,74.944,linear,2,0.02,0.5,2.5,,11426,0.186927,0.550085,0.71162
linear_b2_dz0.02_f0.50-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.5,2.5,,11426,0.191336,0.563206,0.70436
linear_b2_dz0.02_f0.60-c1.50|norm,Bounded SRDiff,normalized,75.471,linear,2,0.02,0.6,1.5,,11426,0.187085,0.550466,0.71022
linear_b2_dz0.02_f0.60-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.6,1.5,,11426,0.191571,0.56382,0.70375
linear_b2_dz0.02_f0.60-c1.75|norm,Bounded SRDiff,normalized,75.027,linear,2,0.02,0.6,1.75,,11426,0.186943,0.550127,0.71162
linear_b2_dz0.02_f0.60-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.6,1.75,,11426,0.191362,0.56328,0.70462
linear_b2_dz0.02_f0.60-c2.00|norm,Bounded SRDiff,normalized,74.951,linear,2,0.02,0.6,2.0,,11426,0.18693,0.550094,0.71171
linear_b2_dz0.02_f0.60-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.6,2.0,,11426,0.191339,0.563215,0.70445
linear_b2_dz0.02_f0.60-c2.25|norm,Bounded SRDiff,normalized,74.94,linear,2,0.02,0.6,2.25,,11426,0.18693,0.550091,0.71162
linear_b2_dz0.02_f0.60-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.6,2.25,,11426,0.191337,0.563208,0.70445
linear_b2_dz0.02_f0.60-c2.50|norm,Bounded SRDiff,normalized,74.94,linear,2,0.02,0.6,2.5,,11426,0.186929,0.55009,0.71162
linear_b2_dz0.02_f0.60-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.6,2.5,,11426,0.191336,0.563207,0.70445
linear_b2_dz0.02_f0.70-c1.50|norm,Bounded SRDiff,normalized,75.438,linear,2,0.02,0.7,1.5,,11426,0.187097,0.550493,0.70996
linear_b2_dz0.02_f0.70-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.7,1.5,,11426,0.191576,0.563833,0.70375
linear_b2_dz0.02_f0.70-c1.75|norm,Bounded SRDiff,normalized,74.994,linear,2,0.02,0.7,1.75,,11426,0.186955,0.550153,0.71136
linear_b2_dz0.02_f0.70-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.7,1.75,,11426,0.191368,0.563292,0.70462
linear_b2_dz0.02_f0.70-c2.00|norm,Bounded SRDiff,normalized,74.918,linear,2,0.02,0.7,2.0,,11426,0.186942,0.55012,0.71127
linear_b2_dz0.02_f0.70-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.7,2.0,,11426,0.191345,0.563227,0.70453
linear_b2_dz0.02_f0.70-c2.25|norm,Bounded SRDiff,normalized,74.907,linear,2,0.02,0.7,2.25,,11426,0.186942,0.550117,0.71127
linear_b2_dz0.02_f0.70-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.7,2.25,,11426,0.191342,0.56322,0.70453
linear_b2_dz0.02_f0.70-c2.50|norm,Bounded SRDiff,normalized,74.907,linear,2,0.02,0.7,2.5,,11426,0.186941,0.550116,0.71127
linear_b2_dz0.02_f0.70-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.7,2.5,,11426,0.191342,0.563219,0.70453
linear_b2_dz0.02_f0.75-c1.50|norm,Bounded SRDiff,normalized,75.382,linear,2,0.02,0.75,1.5,,11426,0.187105,0.550514,0.70996
linear_b2_dz0.02_f0.75-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.75,1.5,,11426,0.19158,0.563842,0.70357
linear_b2_dz0.02_f0.75-c1.75|norm,Bounded SRDiff,normalized,74.939,linear,2,0.02,0.75,1.75,,11426,0.186964,0.550174,0.71127
linear_b2_dz0.02_f0.75-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.75,1.75,,11426,0.191371,0.563301,0.70453
linear_b2_dz0.02_f0.75-c2.00|norm,Bounded SRDiff,normalized,74.863,linear,2,0.02,0.75,2.0,,11426,0.186951,0.550141,0.71119
linear_b2_dz0.02_f0.75-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.75,2.0,,11426,0.191348,0.563235,0.70453
linear_b2_dz0.02_f0.75-c2.25|norm,Bounded SRDiff,normalized,74.852,linear,2,0.02,0.75,2.25,,11426,0.18695,0.550138,0.7111
linear_b2_dz0.02_f0.75-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.75,2.25,,11426,0.191346,0.563229,0.70453
linear_b2_dz0.02_f0.75-c2.50|norm,Bounded SRDiff,normalized,74.852,linear,2,0.02,0.75,2.5,,11426,0.18695,0.550137,0.7111
linear_b2_dz0.02_f0.75-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.02,0.75,2.5,,11426,0.191345,0.563228,0.70453
linear_b2_dz0.03_f0.50-c1.50|norm,Bounded SRDiff,normalized,75.98,linear,2,0.03,0.5,1.5,,11426,0.187174,0.550684,0.71022
linear_b2_dz0.03_f0.50-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.5,1.5,,11426,0.191721,0.564219,0.70296
linear_b2_dz0.03_f0.50-c1.75|norm,Bounded SRDiff,normalized,75.591,linear,2,0.03,0.5,1.75,,11426,0.187048,0.55038,0.71119
linear_b2_dz0.03_f0.50-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.5,1.75,,11426,0.191536,0.563737,0.70375
linear_b2_dz0.03_f0.50-c2.00|norm,Bounded SRDiff,normalized,75.523,linear,2,0.03,0.5,2.0,,11426,0.187038,0.550353,0.71145
linear_b2_dz0.03_f0.50-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.5,2.0,,11426,0.191517,0.563682,0.70392
linear_b2_dz0.03_f0.50-c2.25|norm,Bounded SRDiff,normalized,75.515,linear,2,0.03,0.5,2.25,,11426,0.187036,0.55035,0.71145
linear_b2_dz0.03_f0.50-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.5,2.25,,11426,0.191514,0.563676,0.70392
linear_b2_dz0.03_f0.50-c2.50|norm,Bounded SRDiff,normalized,75.515,linear,2,0.03,0.5,2.5,,11426,0.187036,0.55035,0.71145
linear_b2_dz0.03_f0.50-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.5,2.5,,11426,0.191514,0.563675,0.70392
linear_b2_dz0.03_f0.60-c1.50|norm,Bounded SRDiff,normalized,75.977,linear,2,0.03,0.6,1.5,,11426,0.187176,0.550689,0.71013
linear_b2_dz0.03_f0.60-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.6,1.5,,11426,0.191722,0.564219,0.70296
linear_b2_dz0.03_f0.60-c1.75|norm,Bounded SRDiff,normalized,75.588,linear,2,0.03,0.6,1.75,,11426,0.18705,0.550385,0.71119
linear_b2_dz0.03_f0.60-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.6,1.75,,11426,0.191536,0.563738,0.70375
linear_b2_dz0.03_f0.60-c2.00|norm,Bounded SRDiff,normalized,75.52,linear,2,0.03,0.6,2.0,,11426,0.18704,0.550357,0.71145
linear_b2_dz0.03_f0.60-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.6,2.0,,11426,0.191517,0.563683,0.70383
linear_b2_dz0.03_f0.60-c2.25|norm,Bounded SRDiff,normalized,75.512,linear,2,0.03,0.6,2.25,,11426,0.187039,0.550354,0.71145
linear_b2_dz0.03_f0.60-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.6,2.25,,11426,0.191515,0.563676,0.70383
linear_b2_dz0.03_f0.60-c2.50|norm,Bounded SRDiff,normalized,75.512,linear,2,0.03,0.6,2.5,,11426,0.187038,0.550354,0.71145
linear_b2_dz0.03_f0.60-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.6,2.5,,11426,0.191514,0.563676,0.70383
linear_b2_dz0.03_f0.70-c1.50|norm,Bounded SRDiff,normalized,75.954,linear,2,0.03,0.7,1.5,,11426,0.187186,0.550709,0.70978
linear_b2_dz0.03_f0.70-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.7,1.5,,11426,0.191726,0.564229,0.70296
linear_b2_dz0.03_f0.70-c1.75|norm,Bounded SRDiff,normalized,75.566,linear,2,0.03,0.7,1.75,,11426,0.18706,0.550405,0.71101
linear_b2_dz0.03_f0.70-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.7,1.75,,11426,0.191541,0.563747,0.70375
linear_b2_dz0.03_f0.70-c2.00|norm,Bounded SRDiff,normalized,75.498,linear,2,0.03,0.7,2.0,,11426,0.187049,0.550378,0.7111
linear_b2_dz0.03_f0.70-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.7,2.0,,11426,0.191521,0.563692,0.70383
linear_b2_dz0.03_f0.70-c2.25|norm,Bounded SRDiff,normalized,75.49,linear,2,0.03,0.7,2.25,,11426,0.187048,0.550375,0.7111
linear_b2_dz0.03_f0.70-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.7,2.25,,11426,0.191519,0.563686,0.70383
linear_b2_dz0.03_f0.70-c2.50|norm,Bounded SRDiff,normalized,75.49,linear,2,0.03,0.7,2.5,,11426,0.187048,0.550374,0.7111
linear_b2_dz0.03_f0.70-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.7,2.5,,11426,0.191519,0.563685,0.70383
linear_b2_dz0.03_f0.75-c1.50|norm,Bounded SRDiff,normalized,75.913,linear,2,0.03,0.75,1.5,,11426,0.187195,0.55073,0.70961
linear_b2_dz0.03_f0.75-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.75,1.5,,11426,0.19173,0.564237,0.70287
linear_b2_dz0.03_f0.75-c1.75|norm,Bounded SRDiff,normalized,75.525,linear,2,0.03,0.75,1.75,,11426,0.187068,0.550425,0.71119
linear_b2_dz0.03_f0.75-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.75,1.75,,11426,0.191544,0.563755,0.70331
linear_b2_dz0.03_f0.75-c2.00|norm,Bounded SRDiff,normalized,75.457,linear,2,0.03,0.75,2.0,,11426,0.187058,0.550398,0.71127
linear_b2_dz0.03_f0.75-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.75,2.0,,11426,0.191525,0.5637,0.7034
linear_b2_dz0.03_f0.75-c2.25|norm,Bounded SRDiff,normalized,75.449,linear,2,0.03,0.75,2.25,,11426,0.187057,0.550395,0.71127
linear_b2_dz0.03_f0.75-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.75,2.25,,11426,0.191522,0.563694,0.7034
linear_b2_dz0.03_f0.75-c2.50|norm,Bounded SRDiff,normalized,75.449,linear,2,0.03,0.75,2.5,,11426,0.187057,0.550395,0.71127
linear_b2_dz0.03_f0.75-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.03,0.75,2.5,,11426,0.191522,0.563693,0.7034
linear_b2_dz0.04_f0.50-c1.50|norm,Bounded SRDiff,normalized,76.49,linear,2,0.04,0.5,1.5,,11426,0.187268,0.550913,0.70978
linear_b2_dz0.04_f0.50-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.5,1.5,,11426,0.191873,0.564619,0.70243
linear_b2_dz0.04_f0.50-c1.75|norm,Bounded SRDiff,normalized,76.151,linear,2,0.04,0.5,1.75,,11426,0.187156,0.550642,0.71066
linear_b2_dz0.04_f0.50-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.5,1.75,,11426,0.191708,0.56419,0.70261
linear_b2_dz0.04_f0.50-c2.00|norm,Bounded SRDiff,normalized,76.09,linear,2,0.04,0.5,2.0,,11426,0.187148,0.55062,0.71066
linear_b2_dz0.04_f0.50-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.5,2.0,,11426,0.191692,0.564145,0.70261
linear_b2_dz0.04_f0.50-c2.25|norm,Bounded SRDiff,normalized,76.084,linear,2,0.04,0.5,2.25,,11426,0.187147,0.550617,0.71066
linear_b2_dz0.04_f0.50-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.5,2.25,,11426,0.19169,0.564139,0.70261
linear_b2_dz0.04_f0.50-c2.50|norm,Bounded SRDiff,normalized,76.084,linear,2,0.04,0.5,2.5,,11426,0.187147,0.550617,0.71066
linear_b2_dz0.04_f0.50-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.5,2.5,,11426,0.19169,0.564138,0.70261
linear_b2_dz0.04_f0.60-c1.50|norm,Bounded SRDiff,normalized,76.489,linear,2,0.04,0.6,1.5,,11426,0.18727,0.550916,0.7097
linear_b2_dz0.04_f0.60-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.6,1.5,,11426,0.191873,0.564618,0.70243
linear_b2_dz0.04_f0.60-c1.75|norm,Bounded SRDiff,normalized,76.149,linear,2,0.04,0.6,1.75,,11426,0.187158,0.550645,0.71057
linear_b2_dz0.04_f0.60-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.6,1.75,,11426,0.191708,0.56419,0.70252
linear_b2_dz0.04_f0.60-c2.00|norm,Bounded SRDiff,normalized,76.089,linear,2,0.04,0.6,2.0,,11426,0.187149,0.550623,0.71057
linear_b2_dz0.04_f0.60-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.6,2.0,,11426,0.191692,0.564144,0.70261
linear_b2_dz0.04_f0.60-c2.25|norm,Bounded SRDiff,normalized,76.083,linear,2,0.04,0.6,2.25,,11426,0.187148,0.55062,0.71066
linear_b2_dz0.04_f0.60-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.6,2.25,,11426,0.19169,0.564138,0.70261
linear_b2_dz0.04_f0.60-c2.50|norm,Bounded SRDiff,normalized,76.083,linear,2,0.04,0.6,2.5,,11426,0.187148,0.55062,0.71066
linear_b2_dz0.04_f0.60-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.6,2.5,,11426,0.19169,0.564138,0.70261
linear_b2_dz0.04_f0.70-c1.50|norm,Bounded SRDiff,normalized,76.473,linear,2,0.04,0.7,1.5,,11426,0.187276,0.55093,0.70961
linear_b2_dz0.04_f0.70-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.7,1.5,,11426,0.191876,0.564624,0.70252
linear_b2_dz0.04_f0.70-c1.75|norm,Bounded SRDiff,normalized,76.133,linear,2,0.04,0.7,1.75,,11426,0.187164,0.550659,0.71057
linear_b2_dz0.04_f0.70-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.7,1.75,,11426,0.191711,0.564196,0.70252
linear_b2_dz0.04_f0.70-c2.00|norm,Bounded SRDiff,normalized,76.073,linear,2,0.04,0.7,2.0,,11426,0.187156,0.550637,0.71057
linear_b2_dz0.04_f0.70-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.7,2.0,,11426,0.191695,0.56415,0.70261
linear_b2_dz0.04_f0.70-c2.25|norm,Bounded SRDiff,normalized,76.067,linear,2,0.04,0.7,2.25,,11426,0.187155,0.550634,0.71057
linear_b2_dz0.04_f0.70-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.7,2.25,,11426,0.191693,0.564144,0.70261
linear_b2_dz0.04_f0.70-c2.50|norm,Bounded SRDiff,normalized,76.067,linear,2,0.04,0.7,2.5,,11426,0.187155,0.550633,0.71057
linear_b2_dz0.04_f0.70-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.7,2.5,,11426,0.191693,0.564144,0.70261
linear_b2_dz0.04_f0.75-c1.50|norm,Bounded SRDiff,normalized,76.443,linear,2,0.04,0.75,1.5,,11426,0.187286,0.550952,0.70943
linear_b2_dz0.04_f0.75-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.75,1.5,,11426,0.19188,0.564634,0.70252
linear_b2_dz0.04_f0.75-c1.75|norm,Bounded SRDiff,normalized,76.104,linear,2,0.04,0.75,1.75,,11426,0.187174,0.550681,0.71048
linear_b2_dz0.04_f0.75-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.75,1.75,,11426,0.191715,0.564206,0.70235
linear_b2_dz0.04_f0.75-c2.00|norm,Bounded SRDiff,normalized,76.044,linear,2,0.04,0.75,2.0,,11426,0.187165,0.550659,0.7104
linear_b2_dz0.04_f0.75-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.75,2.0,,11426,0.1917,0.56416,0.70243
linear_b2_dz0.04_f0.75-c2.25|norm,Bounded SRDiff,normalized,76.038,linear,2,0.04,0.75,2.25,,11426,0.187164,0.550656,0.71048
linear_b2_dz0.04_f0.75-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.75,2.25,,11426,0.191697,0.564154,0.70243
linear_b2_dz0.04_f0.75-c2.50|norm,Bounded SRDiff,normalized,76.038,linear,2,0.04,0.75,2.5,,11426,0.187164,0.550655,0.71048
linear_b2_dz0.04_f0.75-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.04,0.75,2.5,,11426,0.191697,0.564154,0.70243
linear_b2_dz0.05_f0.50-c1.50|norm,Bounded SRDiff,normalized,77.006,linear,2,0.05,0.5,1.5,,11426,0.187369,0.55116,0.70943
linear_b2_dz0.05_f0.50-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.5,1.5,,11426,0.192028,0.565026,0.70173
linear_b2_dz0.05_f0.50-c1.75|norm,Bounded SRDiff,normalized,76.709,linear,2,0.05,0.5,1.75,,11426,0.18727,0.55092,0.70987
linear_b2_dz0.05_f0.50-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.5,1.75,,11426,0.191882,0.564648,0.70235
linear_b2_dz0.05_f0.50-c2.00|norm,Bounded SRDiff,normalized,76.656,linear,2,0.05,0.5,2.0,,11426,0.187263,0.550901,0.71013
linear_b2_dz0.05_f0.50-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.5,2.0,,11426,0.191869,0.564609,0.70252
linear_b2_dz0.05_f0.50-c2.25|norm,Bounded SRDiff,normalized,76.652,linear,2,0.05,0.5,2.25,,11426,0.187262,0.550898,0.71013
linear_b2_dz0.05_f0.50-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.5,2.25,,11426,0.191867,0.564603,0.70252
linear_b2_dz0.05_f0.50-c2.50|norm,Bounded SRDiff,normalized,76.652,linear,2,0.05,0.5,2.5,,11426,0.187262,0.550898,0.71013
linear_b2_dz0.05_f0.50-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.5,2.5,,11426,0.191867,0.564603,0.70252
linear_b2_dz0.05_f0.60-c1.50|norm,Bounded SRDiff,normalized,77.005,linear,2,0.05,0.6,1.5,,11426,0.18737,0.551161,0.70935
linear_b2_dz0.05_f0.60-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.6,1.5,,11426,0.192027,0.565026,0.70165
linear_b2_dz0.05_f0.60-c1.75|norm,Bounded SRDiff,normalized,76.708,linear,2,0.05,0.6,1.75,,11426,0.187271,0.550922,0.70996
linear_b2_dz0.05_f0.60-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.6,1.75,,11426,0.191882,0.564647,0.70235
linear_b2_dz0.05_f0.60-c2.00|norm,Bounded SRDiff,normalized,76.655,linear,2,0.05,0.6,2.0,,11426,0.187264,0.550903,0.71013
linear_b2_dz0.05_f0.60-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.6,2.0,,11426,0.191869,0.564608,0.70252
linear_b2_dz0.05_f0.60-c2.25|norm,Bounded SRDiff,normalized,76.651,linear,2,0.05,0.6,2.25,,11426,0.187263,0.5509,0.71013
linear_b2_dz0.05_f0.60-c2.25|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.6,2.25,,11426,0.191866,0.564603,0.70252
linear_b2_dz0.05_f0.60-c2.50|norm,Bounded SRDiff,normalized,76.651,linear,2,0.05,0.6,2.5,,11426,0.187263,0.5509,0.71013
linear_b2_dz0.05_f0.60-c2.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.6,2.5,,11426,0.191866,0.564602,0.70252
linear_b2_dz0.05_f0.70-c1.50|norm,Bounded SRDiff,normalized,76.995,linear,2,0.05,0.7,1.5,,11426,0.187374,0.55117,0.70935
linear_b2_dz0.05_f0.70-c1.50|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.7,1.5,,11426,0.192029,0.565029,0.70173
linear_b2_dz0.05_f0.70-c1.75|norm,Bounded SRDiff,normalized,76.698,linear,2,0.05,0.7,1.75,,11426,0.187275,0.55093,0.70987
linear_b2_dz0.05_f0.70-c1.75|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.7,1.75,,11426,0.191884,0.564651,0.70226
linear_b2_dz0.05_f0.70-c2.00|norm,Bounded SRDiff,normalized,76.645,linear,2,0.05,0.7,2.0,,11426,0.187268,0.550912,0.71013
linear_b2_dz0.05_f0.70-c2.00|fixed,Bounded SRDiff,fixed,35,linear,2,0.05,0.7,2.0,,11426,0.19187,0.564612,0.70235
