config,family,k_mode,K,shape,beta,dead_zone,floor,ceiling,sat_A,games,brier,log_loss,accuracy
linear_b2_dz0.01|norm,Dead-zone SRDiff,normalized,74.371,linear,2,0.01,,,,11426,0.186828,0.549844,0.71189
linear_b2_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,2,0.01,,,,11426,0.191165,0.562752,0.70515
linear_b2_dz0.02|norm,Dead-zone SRDiff,normalized,74.944,linear,2,0.02,,,,11426,0.186931,0.550095,0.71171
linear_b2_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,2,0.02,,,,11426,0.191339,0.563213,0.70445
linear_b2_dz0.03|norm,Dead-zone SRDiff,normalized,75.515,linear,2,0.03,,,,11426,0.187041,0.55036,0.71145
linear_b2_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,2,0.03,,,,11426,0.191518,0.563683,0.70401
linear_b2_dz0.04|norm,Dead-zone SRDiff,normalized,76.084,linear,2,0.04,,,,11426,0.187151,0.550627,0.71083
linear_b2_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,2,0.04,,,,11426,0.191694,0.564146,0.7027
linear_b2_dz0.05|norm,Dead-zone SRDiff,normalized,76.652,linear,2,0.05,,,,11426,0.187267,0.550909,0.71031
linear_b2_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,2,0.05,,,,11426,0.19187,0.564611,0.70261
linear_b3_dz0.01|norm,Dead-zone SRDiff,normalized,70.263,linear,3,0.01,,,,11426,0.18619,0.548286,0.71329
linear_b3_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,3,0.01,,,,11426,0.189944,0.559451,0.70663
linear_b3_dz0.02|norm,Dead-zone SRDiff,normalized,71.033,linear,3,0.02,,,,11426,0.186276,0.548487,0.71337
linear_b3_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,3,0.02,,,,11426,0.190144,0.559996,0.7062
linear_b3_dz0.03|norm,Dead-zone SRDiff,normalized,71.804,linear,3,0.03,,,,11426,0.186376,0.548722,0.71346
linear_b3_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,3,0.03,,,,11426,0.190353,0.560561,0.70593
linear_b3_dz0.04|norm,Dead-zone SRDiff,normalized,72.579,linear,3,0.04,,,,11426,0.186481,0.548973,0.71346
linear_b3_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,3,0.04,,,,11426,0.190563,0.561128,0.70523
linear_b3_dz0.05|norm,Dead-zone SRDiff,normalized,73.356,linear,3,0.05,,,,11426,0.186598,0.549254,0.71346
linear_b3_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,3,0.05,,,,11426,0.190778,0.561706,0.70471
linear_b4_dz0.01|norm,Dead-zone SRDiff,normalized,66.584,linear,4,0.01,,,,11426,0.185852,0.547488,0.7132
linear_b4_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,4,0.01,,,,11426,0.189023,0.556884,0.70628
linear_b4_dz0.02|norm,Dead-zone SRDiff,normalized,67.509,linear,4,0.02,,,,11426,0.185898,0.54758,0.71329
