category,game_id,season,date,home,away,home_score,away_score,winner_srdiff,margin,mov_multiplier_neutral,sr_multiplier_lead
winner lost Success Rate (SRDiff_winner < 0),312440098,2011,2011-09-02,Western Kentucky,Kentucky,3,14,-0.191,11,2.485,0.447
winner lost Success Rate (SRDiff_winner < 0),312440183,2011,2011-09-02,Syracuse,Wake Forest,36,29,-0.0016,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312460002,2011,2011-09-03,Auburn,Utah State,42,38,-0.0339,4,1.609,0.981
winner lost Success Rate (SRDiff_winner < 0),312460087,2011,2011-09-03,Notre Dame,South Florida,20,23,-0.1418,3,1.386,0.572
winner lost Success Rate (SRDiff_winner < 0),312460167,2011,2011-09-03,New Mexico,Colorado State,10,14,-0.0781,4,1.609,0.786
winner lost Success Rate (SRDiff_winner < 0),312460221,2011,2011-09-03,Pittsburgh,Buffalo,35,16,-0.0576,19,2.996,0.871
winner lost Success Rate (SRDiff_winner < 0),312460228,2011,2011-09-03,Clemson,Troy,43,19,-0.0146,24,3.219,1.0
winner lost Success Rate (SRDiff_winner < 0),312460099,2011,2011-09-04,LSU,Oregon,40,27,-0.1246,13,2.639,0.623
winner lost Success Rate (SRDiff_winner < 0),312520097,2011,2011-09-09,Louisville,FIU,17,24,-0.044,7,2.079,0.932
winner lost Success Rate (SRDiff_winner < 0),312530002,2011,2011-09-10,Auburn,Mississippi State,41,34,-0.023,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312530038,2011,2011-09-10,Colorado,California,33,36,-0.0187,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312530061,2011,2011-09-10,Georgia,South Carolina,42,45,-0.127,3,1.386,0.616
winner lost Success Rate (SRDiff_winner < 0),312530084,2011,2011-09-10,Indiana,Virginia,31,34,-0.0039,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312530096,2011,2011-09-10,Kentucky,Central Michigan,27,13,-0.0769,14,2.708,0.791
winner lost Success Rate (SRDiff_winner < 0),312530098,2011,2011-09-10,Western Kentucky,Navy,14,40,-0.0297,26,3.296,1.0
winner lost Success Rate (SRDiff_winner < 0),312530154,2011,2011-09-10,Wake Forest,NC State,34,27,-0.012,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312530158,2011,2011-09-10,Nebraska,Fresno State,42,29,-0.1205,13,2.639,0.636
winner lost Success Rate (SRDiff_winner < 0),312530194,2011,2011-09-10,Ohio State,Toledo,27,22,-0.0923,5,1.792,0.732
winner lost Success Rate (SRDiff_winner < 0),312530238,2011,2011-09-10,Vanderbilt,UConn,24,21,-0.0867,3,1.386,0.753
winner lost Success Rate (SRDiff_winner < 0),312530264,2011,2011-09-10,Washington,Hawai'i,40,32,-0.0734,8,2.197,0.805
winner lost Success Rate (SRDiff_winner < 0),312530276,2011,2011-09-10,Marshall,Southern Miss,26,20,-0.013,6,1.946,1.0
winner lost Success Rate (SRDiff_winner < 0),312532305,2011,2011-09-10,Kansas,Northern Illinois,45,42,-0.0581,3,1.386,0.869
winner lost Success Rate (SRDiff_winner < 0),312530130,2011,2011-09-11,Michigan,Notre Dame,35,31,-0.2251,4,1.609,0.377
winner lost Success Rate (SRDiff_winner < 0),312590041,2011,2011-09-17,UConn,Iowa State,20,24,-0.043,4,1.609,0.937
winner lost Success Rate (SRDiff_winner < 0),312600008,2011,2011-09-17,Arkansas,Troy,38,28,-0.0077,10,2.398,1.0
winner lost Success Rate (SRDiff_winner < 0),312600153,2011,2011-09-17,North Carolina,Virginia,28,17,-0.0491,11,2.485,0.909
winner lost Success Rate (SRDiff_winner < 0),312600189,2011,2011-09-17,Bowling Green,Wyoming,27,28,-0.1369,1,0.693,0.586
winner lost Success Rate (SRDiff_winner < 0),312602229,2011,2011-09-17,FIU,UCF,17,10,-0.1156,7,2.079,0.652
winner lost Success Rate (SRDiff_winner < 0),312602348,2011,2011-09-17,Louisiana Tech,Houston,34,35,-0.1089,1,0.693,0.674
winner lost Success Rate (SRDiff_winner < 0),312602390,2011,2011-09-17,Miami (FL),Ohio State,24,6,-0.0075,18,2.944,1.0
winner lost Success Rate (SRDiff_winner < 0),312600252,2011,2011-09-18,BYU,Utah,10,54,-0.0471,44,3.807,0.918
winner lost Success Rate (SRDiff_winner < 0),312660252,2011,2011-09-24,BYU,UCF,24,17,-0.0739,7,2.079,0.803
winner lost Success Rate (SRDiff_winner < 0),312670023,2011,2011-09-24,San Jose State,New Mexico State,34,24,-0.07,10,2.398,0.819
winner lost Success Rate (SRDiff_winner < 0),312670070,2011,2011-09-24,Idaho,Fresno State,24,48,-0.0251,24,3.219,1.0
winner lost Success Rate (SRDiff_winner < 0),312670096,2011,2011-09-24,Kentucky,Florida,10,48,-0.0577,38,3.664,0.871
winner lost Success Rate (SRDiff_winner < 0),312670164,2011,2011-09-24,Rutgers,Ohio,38,26,-0.0522,12,2.565,0.895
winner lost Success Rate (SRDiff_winner < 0),312670183,2011,2011-09-24,Syracuse,Toledo,33,30,-0.018,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312670228,2011,2011-09-24,Clemson,Florida State,35,30,-0.061,5,1.792,0.856
winner lost Success Rate (SRDiff_winner < 0),312670258,2011,2011-09-24,Virginia,Southern Miss,24,30,-0.0762,6,1.946,0.794
winner lost Success Rate (SRDiff_winner < 0),312670264,2011,2011-09-24,Washington,California,31,23,-0.0049,8,2.197,1.0
winner lost Success Rate (SRDiff_winner < 0),312670344,2011,2011-09-24,Mississippi State,Louisiana Tech,26,20,-0.0112,6,1.946,1.0
winner lost Success Rate (SRDiff_winner < 0),312672084,2011,2011-09-24,Buffalo,UConn,3,17,-0.0364,14,2.708,0.968
winner lost Success Rate (SRDiff_winner < 0),312672229,2011,2011-09-24,FIU,Louisiana,31,36,-0.0307,5,1.792,0.996
winner lost Success Rate (SRDiff_winner < 0),312672390,2011,2011-09-24,Miami (FL),Kansas State,24,28,-0.058,4,1.609,0.869
winner lost Success Rate (SRDiff_winner < 0),312672641,2011,2011-09-24,Texas Tech,Nevada,35,34,-0.0499,1,0.693,0.905
winner lost Success Rate (SRDiff_winner < 0),312670009,2011,2011-09-25,Arizona State,USC,43,22,-0.1097,21,3.091,0.671
winner lost Success Rate (SRDiff_winner < 0),312670277,2011,2011-09-25,West Virginia,LSU,21,47,-0.0433,26,3.296,0.936
winner lost Success Rate (SRDiff_winner < 0),312670328,2011,2011-09-25,Utah State,Colorado State,34,35,-0.033,1,0.693,0.985
winner lost Success Rate (SRDiff_winner < 0),312740008,2011,2011-10-01,Arkansas,Texas A&M,42,38,-0.1017,4,1.609,0.699
winner lost Success Rate (SRDiff_winner < 0),312740030,2011,2011-10-01,USC,Arizona,48,41,-0.125,7,2.079,0.622
winner lost Success Rate (SRDiff_winner < 0),312740038,2011,2011-10-01,Colorado,Washington State,27,31,-0.0567,4,1.609,0.875
winner lost Success Rate (SRDiff_winner < 0),312740066,2011,2011-10-01,Iowa State,Texas,14,37,-0.1253,23,3.178,0.621
winner lost Success Rate (SRDiff_winner < 0),312740097,2011,2011-10-01,Louisville,Marshall,13,17,-0.0415,4,1.609,0.944
winner lost Success Rate (SRDiff_winner < 0),312740103,2011,2011-10-01,Boston College,Wake Forest,19,27,-0.0518,8,2.197,0.897
winner lost Success Rate (SRDiff_winner < 0),312740183,2011,2011-10-01,Syracuse,Rutgers,16,19,-0.1354,3,1.386,0.59
winner lost Success Rate (SRDiff_winner < 0),312740218,2011,2011-10-01,Temple,Toledo,13,36,-0.0812,23,3.178,0.774
winner lost Success Rate (SRDiff_winner < 0),312740259,2011,2011-10-01,Virginia Tech,Clemson,3,23,-0.0036,20,3.045,1.0
winner lost Success Rate (SRDiff_winner < 0),312740356,2011,2011-10-01,Illinois,Northwestern,38,35,-0.0022,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312742117,2011,2011-10-01,Central Michigan,Northern Illinois,48,41,-0.1133,7,2.079,0.659
winner lost Success Rate (SRDiff_winner < 0),312742199,2011,2011-10-01,Eastern Michigan,Akron,31,23,-0.0613,8,2.197,0.855
winner lost Success Rate (SRDiff_winner < 0),312742229,2011,2011-10-01,FIU,Duke,27,31,-0.102,4,1.609,0.698
winner lost Success Rate (SRDiff_winner < 0),312742305,2011,2011-10-01,Kansas,Texas Tech,34,45,-0.0418,11,2.485,0.943
winner lost Success Rate (SRDiff_winner < 0),312742306,2011,2011-10-01,Kansas State,Baylor,36,35,-0.0513,1,0.693,0.899
winner lost Success Rate (SRDiff_winner < 0),312742628,2011,2011-10-01,TCU,SMU,33,40,-0.0519,7,2.079,0.896
winner lost Success Rate (SRDiff_winner < 0),312740009,2011,2011-10-02,Arizona State,Oregon State,35,20,-0.0095,15,2.773,1.0
winner lost Success Rate (SRDiff_winner < 0),312740151,2011,2011-10-02,East Carolina,North Carolina,20,35,-0.1197,15,2.773,0.639
winner lost Success Rate (SRDiff_winner < 0),312740167,2011,2011-10-02,New Mexico,New Mexico State,28,42,-0.088,14,2.708,0.748
winner lost Success Rate (SRDiff_winner < 0),312740278,2011,2011-10-02,Fresno State,Ole Miss,28,38,-0.2039,10,2.398,0.419
winner lost Success Rate (SRDiff_winner < 0),312792393,2011,2011-10-06,Middle Tennessee,Western Kentucky,33,36,-0.0228,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312810059,2011,2011-10-08,Georgia Tech,Maryland,21,16,-0.0188,5,1.792,1.0
winner lost Success Rate (SRDiff_winner < 0),312810077,2011,2011-10-08,Northwestern,Michigan,24,42,-0.0651,18,2.944,0.839
winner lost Success Rate (SRDiff_winner < 0),312810152,2011,2011-10-08,NC State,Central Michigan,38,24,-0.0594,14,2.708,0.863
winner lost Success Rate (SRDiff_winner < 0),312810153,2011,2011-10-08,North Carolina,Louisville,14,7,-0.006,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312810154,2011,2011-10-08,Wake Forest,Florida State,35,30,-0.1884,5,1.792,0.453
winner lost Success Rate (SRDiff_winner < 0),312810242,2011,2011-10-08,Rice,Memphis,28,6,-0.0711,22,3.135,0.814
winner lost Success Rate (SRDiff_winner < 0),312810249,2011,2011-10-08,North Texas,FAU,31,17,-0.0357,14,2.708,0.972
winner lost Success Rate (SRDiff_winner < 0),312810251,2011,2011-10-08,Texas,Oklahoma,17,55,-0.0316,38,3.664,0.992
winner lost Success Rate (SRDiff_winner < 0),312810254,2011,2011-10-08,Utah,Arizona State,14,35,-0.0114,21,3.091,1.0
winner lost Success Rate (SRDiff_winner < 0),312810277,2011,2011-10-08,West Virginia,UConn,43,16,-0.0167,27,3.332,1.0
winner lost Success Rate (SRDiff_winner < 0),312810309,2011,2011-10-08,Louisiana,Troy,31,17,-0.0104,14,2.708,1.0
winner lost Success Rate (SRDiff_winner < 0),312812084,2011,2011-10-08,Buffalo,Ohio,38,37,-0.0559,1,0.693,0.879
winner lost Success Rate (SRDiff_winner < 0),312812306,2011,2011-10-08,Kansas State,Missouri,24,17,-0.1086,7,2.079,0.675
winner lost Success Rate (SRDiff_winner < 0),312812509,2011,2011-10-08,Purdue,Minnesota,45,17,-0.0545,28,3.367,0.885
winner lost Success Rate (SRDiff_winner < 0),312812633,2011,2011-10-08,Tennessee,Georgia,12,20,-0.0159,8,2.197,1.0
winner lost Success Rate (SRDiff_winner < 0),312810026,2011,2011-10-09,UCLA,Washington State,28,25,-0.0029,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312812655,2011,2011-10-09,Tulane,Syracuse,34,37,-0.0903,3,1.386,0.74
winner lost Success Rate (SRDiff_winner < 0),312862005,2011,2011-10-14,Air Force,San Diego State,27,41,-0.0384,14,2.708,0.959
winner lost Success Rate (SRDiff_winner < 0),312870023,2011,2011-10-15,San Jose State,Hawai'i,28,27,-0.0379,1,0.693,0.961
winner lost Success Rate (SRDiff_winner < 0),312880002,2011,2011-10-15,Auburn,Florida,17,6,-0.0445,11,2.485,0.93
winner lost Success Rate (SRDiff_winner < 0),312880041,2011,2011-10-15,UConn,South Florida,16,10,-0.0602,6,1.946,0.86
winner lost Success Rate (SRDiff_winner < 0),312880153,2011,2011-10-15,North Carolina,Miami (FL),24,30,-0.1572,6,1.946,0.529
winner lost Success Rate (SRDiff_winner < 0),312880195,2011,2011-10-15,Ohio,Ball State,20,23,-0.0594,3,1.386,0.863
winner lost Success Rate (SRDiff_winner < 0),312880251,2011,2011-10-15,Texas,Oklahoma State,26,38,-0.021,12,2.565,1.0
winner lost Success Rate (SRDiff_winner < 0),312880276,2011,2011-10-15,Marshall,Rice,24,20,-0.0587,4,1.609,0.866
winner lost Success Rate (SRDiff_winner < 0),312880356,2011,2011-10-15,Illinois,Ohio State,7,17,-0.1149,10,2.398,0.654
winner lost Success Rate (SRDiff_winner < 0),312882309,2011,2011-10-15,Kent State,Miami (OH),3,9,-0.0588,6,1.946,0.866
winner lost Success Rate (SRDiff_winner < 0),312882641,2011,2011-10-15,Texas Tech,Kansas State,34,41,-0.0673,7,2.079,0.83
winner lost Success Rate (SRDiff_winner < 0),312882655,2011,2011-10-15,Tulane,UTEP,7,44,-0.0652,37,3.638,0.839
winner lost Success Rate (SRDiff_winner < 0),312940097,2011,2011-10-22,Louisville,Rutgers,16,14,-0.0113,2,1.099,1.0
winner lost Success Rate (SRDiff_winner < 0),312950058,2011,2011-10-22,South Florida,Cincinnati,34,37,-0.0051,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312950077,2011,2011-10-22,Northwestern,Penn State,24,34,-0.0334,10,2.398,0.983
winner lost Success Rate (SRDiff_winner < 0),312950087,2011,2011-10-22,Notre Dame,USC,17,31,-0.0504,14,2.708,0.903
winner lost Success Rate (SRDiff_winner < 0),312950150,2011,2011-10-22,Duke,Wake Forest,23,24,-0.0552,1,0.693,0.881
winner lost Success Rate (SRDiff_winner < 0),312950189,2011,2011-10-22,Bowling Green,Temple,13,10,-0.03,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312950242,2011,2011-10-22,Rice,Tulsa,20,38,-0.0155,18,2.944,1.0
winner lost Success Rate (SRDiff_winner < 0),312952084,2011,2011-10-22,Buffalo,Northern Illinois,30,31,-0.1546,1,0.693,0.536
winner lost Success Rate (SRDiff_winner < 0),312952199,2011,2011-10-22,Eastern Michigan,Western Michigan,14,10,-0.014,4,1.609,1.0
winner lost Success Rate (SRDiff_winner < 0),312952390,2011,2011-10-22,Miami (FL),Georgia Tech,24,7,-0.0521,17,2.89,0.895
winner lost Success Rate (SRDiff_winner < 0),312952509,2011,2011-10-22,Purdue,Illinois,21,14,-0.0174,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312952655,2011,2011-10-22,Tulane,Memphis,17,33,-0.1409,16,2.833,0.574
winner lost Success Rate (SRDiff_winner < 0),312950127,2011,2011-10-23,Michigan State,Wisconsin,37,31,-0.0678,6,1.946,0.828
winner lost Success Rate (SRDiff_winner < 0),312950201,2011,2011-10-23,Oklahoma,Texas Tech,38,41,-0.0114,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313002390,2011,2011-10-28,Miami (FL),Virginia,21,28,-0.0791,7,2.079,0.782
winner lost Success Rate (SRDiff_winner < 0),313012628,2011,2011-10-29,TCU,BYU,38,28,-0.1315,10,2.398,0.602
winner lost Success Rate (SRDiff_winner < 0),313020026,2011,2011-10-29,UCLA,California,31,14,-0.0128,17,2.89,1.0
winner lost Success Rate (SRDiff_winner < 0),313020153,2011,2011-10-29,North Carolina,Wake Forest,49,24,-0.0945,25,3.258,0.725
winner lost Success Rate (SRDiff_winner < 0),313020197,2011,2011-10-29,Oklahoma State,Baylor,59,24,-0.0078,35,3.584,1.0
winner lost Success Rate (SRDiff_winner < 0),313020213,2011,2011-10-29,Penn State,Illinois,10,7,-0.0123,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313020245,2011,2011-10-29,Texas A&M,Missouri,31,38,-0.0533,7,2.079,0.89
winner lost Success Rate (SRDiff_winner < 0),313020254,2011,2011-10-29,Utah,Oregon State,27,8,-0.0298,19,2.996,1.0
winner lost Success Rate (SRDiff_winner < 0),313022309,2011,2011-10-29,Kent State,Bowling Green,27,15,-0.0388,12,2.565,0.957
winner lost Success Rate (SRDiff_winner < 0),313022439,2011,2011-10-29,UNLV,Colorado State,38,35,-0.0009,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313022641,2011,2011-10-29,Texas Tech,Iowa State,7,41,-0.0171,34,3.555,1.0
winner lost Success Rate (SRDiff_winner < 0),313022711,2011,2011-10-29,Western Michigan,Ball State,45,35,-0.0843,10,2.398,0.762
winner lost Success Rate (SRDiff_winner < 0),313020021,2011,2011-10-30,San Diego State,Wyoming,27,30,-0.0633,3,1.386,0.846
winner lost Success Rate (SRDiff_winner < 0),313020194,2011,2011-10-30,Ohio State,Wisconsin,33,29,-0.0245,4,1.609,1.0
winner lost Success Rate (SRDiff_winner < 0),313020264,2011,2011-10-30,Washington,Arizona,42,31,-0.0874,11,2.485,0.751
winner lost Success Rate (SRDiff_winner < 0),313090008,2011,2011-11-05,Arkansas,South Carolina,44,28,-0.1023,16,2.833,0.696
winner lost Success Rate (SRDiff_winner < 0),313090012,2011,2011-11-05,Arizona,Utah,21,34,-0.0736,13,2.639,0.804
winner lost Success Rate (SRDiff_winner < 0),313090026,2011,2011-11-05,UCLA,Arizona State,29,28,-0.0285,1,0.693,1.0
winner lost Success Rate (SRDiff_winner < 0),313090066,2011,2011-11-05,Iowa State,Kansas,13,10,-0.0117,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313090151,2011,2011-11-05,East Carolina,Southern Miss,28,48,-0.0383,20,3.045,0.959
winner lost Success Rate (SRDiff_winner < 0),313090152,2011,2011-11-05,NC State,North Carolina,13,0,-0.0037,13,2.639,1.0
winner lost Success Rate (SRDiff_winner < 0),313090164,2011,2011-11-05,Rutgers,South Florida,20,17,-0.0494,3,1.386,0.908
winner lost Success Rate (SRDiff_winner < 0),313090239,2011,2011-11-05,Baylor,Missouri,42,39,-0.029,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313090277,2011,2011-11-05,West Virginia,Louisville,35,38,-0.106,3,1.386,0.684
winner lost Success Rate (SRDiff_winner < 0),313090309,2011,2011-11-05,Louisiana,ULM,36,35,-0.0952,1,0.693,0.722
winner lost Success Rate (SRDiff_winner < 0),313092005,2011,2011-11-05,Air Force,Army,24,14,-0.0811,10,2.398,0.775
winner lost Success Rate (SRDiff_winner < 0),313092199,2011,2011-11-05,Eastern Michigan,Ball State,31,33,-0.0941,2,1.099,0.726
winner lost Success Rate (SRDiff_winner < 0),313090062,2011,2011-11-06,Hawai'i,Utah State,31,35,-0.0684,4,1.609,0.825
winner lost Success Rate (SRDiff_winner < 0),313090278,2011,2011-11-06,Fresno State,Louisiana Tech,21,41,-0.0664,20,3.045,0.834
winner lost Success Rate (SRDiff_winner < 0),313130218,2011,2011-11-10,Temple,Miami (OH),24,21,-0.1307,3,1.386,0.604
winner lost Success Rate (SRDiff_winner < 0),313160052,2011,2011-11-12,Florida State,Miami (FL),23,19,-0.0182,4,1.609,1.0
winner lost Success Rate (SRDiff_winner < 0),313160077,2011,2011-11-12,Northwestern,Rice,28,6,-0.1143,22,3.135,0.656
winner lost Success Rate (SRDiff_winner < 0),313162199,2011,2011-11-12,Eastern Michigan,Buffalo,30,17,-0.0166,13,2.639,1.0
winner lost Success Rate (SRDiff_winner < 0),313162306,2011,2011-11-12,Kansas State,Texas A&M,53,50,-0.0552,3,1.386,0.882
winner lost Success Rate (SRDiff_winner < 0),313162567,2011,2011-11-12,SMU,Navy,17,24,-0.0082,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),313160024,2011,2011-11-13,Stanford,Oregon,30,53,-0.0768,23,3.178,0.791
winner lost Success Rate (SRDiff_winner < 0),313160145,2011,2011-11-13,Ole Miss,Louisiana Tech,7,27,-0.0248,20,3.045,1.0
winner lost Success Rate (SRDiff_winner < 0),313160166,2011,2011-11-13,New Mexico State,Fresno State,48,45,-0.0063,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313160167,2011,2011-11-13,New Mexico,UNLV,21,14,-0.0356,7,2.079,0.972
winner lost Success Rate (SRDiff_winner < 0),313160265,2011,2011-11-13,Washington State,Arizona State,37,27,-0.0749,10,2.398,0.799
winner lost Success Rate (SRDiff_winner < 0),313162572,2011,2011-11-13,Southern Miss,UCF,30,29,-0.0572,1,0.693,0.873
winner lost Success Rate (SRDiff_winner < 0),313210259,2011,2011-11-18,Virginia Tech,North Carolina,24,21,-0.0476,3,1.386,0.916
winner lost Success Rate (SRDiff_winner < 0),313220066,2011,2011-11-19,Iowa State,Oklahoma State,37,31,-0.0922,6,1.946,0.733
winner lost Success Rate (SRDiff_winner < 0),313230058,2011,2011-11-19,South Florida,Miami (FL),3,6,-0.0813,3,1.386,0.774
winner lost Success Rate (SRDiff_winner < 0),313230070,2011,2011-11-19,Idaho,Utah State,42,49,-0.0085,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),313230242,2011,2011-11-19,Rice,Tulane,19,7,-0.0383,12,2.565,0.959
winner lost Success Rate (SRDiff_winner < 0),313230356,2011,2011-11-19,Illinois,Wisconsin,17,28,-0.0584,11,2.485,0.867
winner lost Success Rate (SRDiff_winner < 0),313232309,2011,2011-11-19,Kent State,Eastern Michigan,28,22,-0.1382,6,1.946,0.582
winner lost Success Rate (SRDiff_winner < 0),313232433,2011,2011-11-19,ULM,FIU,17,28,-0.0221,11,2.485,1.0
winner lost Success Rate (SRDiff_winner < 0),313232440,2011,2011-11-19,Nevada,Louisiana Tech,20,24,-0.0562,4,1.609,0.877
winner lost Success Rate (SRDiff_winner < 0),313232509,2011,2011-11-19,Purdue,Iowa,21,31,-0.0027,10,2.398,1.0
winner lost Success Rate (SRDiff_winner < 0),313232653,2011,2011-11-19,Troy,FAU,34,7,-0.0106,27,3.332,1.0
winner lost Success Rate (SRDiff_winner < 0),313230009,2011,2011-11-20,Arizona State,Arizona,27,31,-0.0393,4,1.609,0.954
winner lost Success Rate (SRDiff_winner < 0),313230024,2011,2011-11-20,Stanford,California,31,28,-0.0146,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313230052,2011,2011-11-20,Florida State,Virginia,13,14,-0.0859,1,0.693,0.756
winner lost Success Rate (SRDiff_winner < 0),313230151,2011,2011-11-20,East Carolina,UCF,38,31,-0.0011,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),313230239,2011,2011-11-20,Baylor,Oklahoma,45,38,-0.1316,7,2.079,0.602
winner lost Success Rate (SRDiff_winner < 0),313230251,2011,2011-11-20,Texas,Kansas State,13,17,-0.137,4,1.609,0.586
winner lost Success Rate (SRDiff_winner < 0),313232483,2011,2011-11-20,Oregon,USC,35,38,-0.0166,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313260195,2011,2011-11-23,Ohio,Miami (OH),21,14,-0.0269,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),313280218,2011,2011-11-25,Temple,Kent State,34,16,-0.1151,18,2.944,0.653
winner lost Success Rate (SRDiff_winner < 0),313280245,2011,2011-11-25,Texas A&M,Texas,25,27,-0.0758,2,1.099,0.795
winner lost Success Rate (SRDiff_winner < 0),313282459,2011,2011-11-25,Northern Illinois,Eastern Michigan,18,12,-0.1014,6,1.946,0.7
winner lost Success Rate (SRDiff_winner < 0),313290058,2011,2011-11-25,South Florida,Louisville,24,34,-0.0019,10,2.398,1.0
winner lost Success Rate (SRDiff_winner < 0),313290254,2011,2011-11-25,Utah,Colorado,14,17,-0.0509,3,1.386,0.901
winner lost Success Rate (SRDiff_winner < 0),313292084,2011,2011-11-25,Buffalo,Bowling Green,28,42,-0.015,14,2.708,1.0
winner lost Success Rate (SRDiff_winner < 0),313300077,2011,2011-11-26,Northwestern,Michigan State,17,31,-0.0435,14,2.708,0.935
winner lost Success Rate (SRDiff_winner < 0),313300152,2011,2011-11-26,NC State,Maryland,56,41,-0.0041,15,2.773,1.0
winner lost Success Rate (SRDiff_winner < 0),313300183,2011,2011-11-26,Syracuse,Cincinnati,13,30,-0.0342,17,2.89,0.979
winner lost Success Rate (SRDiff_winner < 0),313300276,2011,2011-11-26,Marshall,East Carolina,34,27,-0.0717,7,2.079,0.812
winner lost Success Rate (SRDiff_winner < 0),313300328,2011,2011-11-26,Utah State,Nevada,21,17,-0.1024,4,1.609,0.696
winner lost Success Rate (SRDiff_winner < 0),313302226,2011,2011-11-26,FAU,UAB,38,35,-0.0246,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),313300057,2011,2011-11-27,Florida,Florida State,7,21,-0.1079,14,2.708,0.677
winner lost Success Rate (SRDiff_winner < 0),313362459,2011,2011-12-03,Northern Illinois,Ohio,23,20,-0.061,3,1.386,0.856
winner lost Success Rate (SRDiff_winner < 0),313370036,2011,2011-12-03,Colorado State,Wyoming,19,22,-0.1255,3,1.386,0.62
winner lost Success Rate (SRDiff_winner < 0),313370221,2011,2011-12-03,Pittsburgh,Syracuse,33,20,-0.0133,13,2.639,1.0
winner lost Success Rate (SRDiff_winner < 0),313370239,2011,2011-12-03,Baylor,Texas,48,24,-0.0721,24,3.219,0.81
winner lost Success Rate (SRDiff_winner < 0),313370248,2011,2011-12-03,Houston,Southern Miss,28,49,-0.0281,21,3.091,1.0
winner lost Success Rate (SRDiff_winner < 0),313372132,2011,2011-12-03,Cincinnati,UConn,35,27,-0.0069,8,2.197,1.0
winner lost Success Rate (SRDiff_winner < 0),313370127,2011,2011-12-04,Michigan State,Wisconsin,39,42,-0.1332,3,1.386,0.597
winner lost Success Rate (SRDiff_winner < 0),313582572,2011,2011-12-25,Southern Miss,Nevada,24,17,-0.0301,7,2.079,0.999
winner lost Success Rate (SRDiff_winner < 0),313612509,2011,2011-12-27,Purdue,Western Michigan,37,32,-0.0589,5,1.792,0.865
winner lost Success Rate (SRDiff_winner < 0),313610152,2011,2011-12-28,NC State,Louisville,31,24,-0.0154,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),313620251,2011,2011-12-29,Texas,California,21,10,-0.0569,11,2.485,0.874
winner lost Success Rate (SRDiff_winner < 0),313630087,2011,2011-12-29,Notre Dame,Florida State,14,18,-0.0471,4,1.609,0.918
winner lost Success Rate (SRDiff_winner < 0),313640066,2011,2011-12-30,Iowa State,Rutgers,13,27,-0.0085,14,2.708,1.0
winner lost Success Rate (SRDiff_winner < 0),313640154,2011,2011-12-30,Wake Forest,Mississippi State,17,23,-0.0254,6,1.946,1.0
winner lost Success Rate (SRDiff_winner < 0),313640201,2011,2011-12-31,Oklahoma,Iowa,31,14,-0.011,17,2.89,1.0
winner lost Success Rate (SRDiff_winner < 0),313650002,2011,2012-01-01,Auburn,Virginia,43,24,-0.0496,19,2.996,0.907
winner lost Success Rate (SRDiff_winner < 0),320020057,2011,2012-01-02,Florida,Ohio State,24,17,-0.1045,7,2.079,0.689
winner lost Success Rate (SRDiff_winner < 0),320020197,2011,2012-01-03,Oklahoma State,Stanford,41,38,-0.0806,3,1.386,0.777
winner lost Success Rate (SRDiff_winner < 0),320030259,2011,2012-01-04,Virginia Tech,Michigan,20,23,-0.1455,3,1.386,0.561
winner lost Success Rate (SRDiff_winner < 0),320060008,2011,2012-01-07,Arkansas,Kansas State,29,16,-0.0002,13,2.639,1.0
winner lost Success Rate (SRDiff_winner < 0),320082459,2011,2012-01-09,Northern Illinois,Arkansas State,38,20,-0.118,18,2.944,0.644
winner lost Success Rate (SRDiff_winner < 0),322450006,2012,2012-09-01,South Alabama,UTSA,31,33,-0.625,2,1.099,0.75
