config,family,k_mode,K,gamma,dead_zone,tau,games,brier,log_loss,accuracy
MOV_production,Current MOV Elo,production,35,,,,11426,0.18505,0.545626,0.7118
hyb_close_g5.0_tau7|normalized,Hybrid close,normalized,33.971,5.0,,7.0,11426,0.184713,0.5448,0.71329
hyb_close_g5.0_tau7|fixed,Hybrid close,fixed,35,5.0,,7.0,11426,0.184731,0.544811,0.71346
hyb_close_g5.0_tau14|normalized,Hybrid close,normalized,32.077,5.0,,14.0,11426,0.184527,0.544348,0.71434
hyb_close_g5.0_tau14|fixed,Hybrid close,fixed,35,5.0,,14.0,11426,0.184639,0.544612,0.71451
hyb_close_g5.5_tau3|normalized,Hybrid close,normalized,34.758,5.5,,3.0,11426,0.184828,0.545099,0.71346
hyb_close_g5.5_tau3|fixed,Hybrid close,fixed,35,5.5,,3.0,11426,0.184831,0.545097,0.71346
hyb_close_g5.5_tau7|normalized,Hybrid close,normalized,33.839,5.5,,7.0,11426,0.184708,0.54479,0.71381
hyb_close_g5.5_tau7|fixed,Hybrid close,fixed,35,5.5,,7.0,11426,0.184729,0.544808,0.71399
hyb_close_g5.5_tau14|normalized,Hybrid close,normalized,31.736,5.5,,14.0,11426,0.184552,0.544417,0.71337
hyb_close_g5.5_tau14|fixed,Hybrid close,fixed,35,5.5,,14.0,11426,0.184693,0.544771,0.7146
hyb_close_g6.0_tau3|normalized,Hybrid close,normalized,34.726,6.0,,3.0,11426,0.184814,0.545065,0.71399
hyb_close_g6.0_tau3|fixed,Hybrid close,fixed,35,6.0,,3.0,11426,0.184817,0.545063,0.71381
hyb_close_g6.0_tau7|normalized,Hybrid close,normalized,33.702,6.0,,7.0,11426,0.18471,0.544796,0.71477
hyb_close_g6.0_tau7|fixed,Hybrid close,fixed,35,6.0,,7.0,11426,0.184734,0.544821,0.71416
hyb_close_g6.0_tau14|normalized,Hybrid close,normalized,31.386,6.0,,14.0,11426,0.184592,0.544526,0.71407
hyb_close_g6.0_tau14|fixed,Hybrid close,fixed,35,6.0,,14.0,11426,0.184767,0.544988,0.71407
