model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Hybrid linear [normalized K],2026,hyb_linear_g3.5_dz0.02|normalized,157,0.156243,0.489351,0.77707
Hybrid linear [fixed K],2011,hyb_linear_g3.0_dz0.04|fixed,715,0.179665,0.532375,0.73007
Hybrid linear [fixed K],2012,hyb_linear_g2.5_dz0.04|fixed,732,0.173613,0.516281,0.74044
Hybrid linear [fixed K],2013,hyb_linear_g3.0_dz0.04|fixed,737,0.163653,0.488991,0.7517
Hybrid linear [fixed K],2014,hyb_linear_g3.5_dz0.04|fixed,760,0.187107,0.548715,0.70526
Hybrid linear [fixed K],2015,hyb_linear_g3.5_dz0.04|fixed,765,0.17104,0.509281,0.74379
Hybrid linear [fixed K],2016,hyb_linear_g3.5_dz0.04|fixed,760,0.191949,0.561616,0.70789
Hybrid linear [fixed K],2017,hyb_linear_g3.5_dz0.04|fixed,776,0.191433,0.561199,0.69201
Hybrid linear [fixed K],2018,hyb_linear_g3.0_dz0.04|fixed,772,0.176099,0.521849,0.73575
Hybrid linear [fixed K],2019,hyb_linear_g3.0_dz0.04|fixed,774,0.17552,0.520979,0.72868
Hybrid linear [fixed K],2020,hyb_linear_g3.0_dz0.04|fixed,534,0.191961,0.570647,0.71161
Hybrid linear [fixed K],2021,hyb_linear_g3.0_dz0.04|fixed,770,0.188816,0.555996,0.7
Hybrid linear [fixed K],2022,hyb_linear_g2.5_dz0.02|fixed,776,0.205251,0.599666,0.67397
Hybrid linear [fixed K],2023,hyb_linear_g2.5_dz0.04|fixed,792,0.185209,0.548579,0.71591
Hybrid linear [fixed K],2024,hyb_linear_g2.5_dz0.04|fixed,798,0.199589,0.581378,0.6792
Hybrid linear [fixed K],2025,hyb_linear_g2.5_dz0.04|fixed,808,0.183944,0.542375,0.71658
Hybrid linear [fixed K],2026,hyb_linear_g2.5_dz0.04|fixed,157,0.156138,0.490694,0.7707
Hybrid close [normalized K],2011,hyb_close_g5.0_tau14|normalized,715,0.179123,0.530438,0.73007
Hybrid close [normalized K],2012,hyb_close_g5.0_tau14|normalized,732,0.175961,0.522806,0.73634
Hybrid close [normalized K],2013,hyb_close_g4.0_tau14|normalized,737,0.165517,0.495085,0.7517
Hybrid close [normalized K],2014,hyb_close_g4.0_tau14|normalized,760,0.188308,0.55229,0.70263
Hybrid close [normalized K],2015,hyb_close_g4.5_tau14|normalized,765,0.172018,0.513105,0.7451
Hybrid close [normalized K],2016,hyb_close_g4.5_tau14|normalized,760,0.191796,0.560312,0.70263
