team_name,conference_real,is_fbs
Air Force,Mountain West,1
Akron,Mid-American,1
Alabama,SEC,1
Arizona,Pac-10,1
Arizona State,Pac-10,1
Arkansas,SEC,1
Arkansas State,Sun Belt,1
Army,FBS Independents,1
Auburn,SEC,1
BYU,Mountain West,1
Ball State,Mid-American,1
Baylor,Big 12,1
Boise State,Western Athletic,1
Boston College,ACC,1
Bowling Green,Mid-American,1
Buffalo,Mid-American,1
California,Pac-10,1
Central Michigan,Mid-American,1
Cincinnati,Big East,1
Clemson,ACC,1
Colorado,Big 12,1
Colorado State,Mountain West,1
Duke,ACC,1
East Carolina,Conference USA,1
Eastern Michigan,Mid-American,1
Florida,SEC,1
Florida Atlantic,Sun Belt,1
Florida International,Sun Belt,1
Florida State,ACC,1
Fresno State,Western Athletic,1
Georgia,SEC,1
Georgia Tech,ACC,1
Hawai'i,Western Athletic,1
Houston,Conference USA,1
Idaho,Western Athletic,1
Illinois,Big Ten,1
Indiana,Big Ten,1
Iowa,Big Ten,1
Iowa State,Big 12,1
Kansas,Big 12,1
Kansas State,Big 12,1
Kent State,Mid-American,1
Kentucky,SEC,1
LSU,SEC,1
Louisiana,Sun Belt,1
Louisiana Tech,Western Athletic,1
Louisville,Big East,1
Marshall,Conference USA,1
Maryland,ACC,1
Memphis,Conference USA,1
Miami,ACC,1
Miami (OH),Mid-American,1
Michigan,Big Ten,1
Michigan State,Big Ten,1
Middle Tennessee,Sun Belt,1
Minnesota,Big Ten,1
Mississippi State,SEC,1
Missouri,Big 12,1
NC State,ACC,1
Navy,FBS Independents,1
Nebraska,Big 12,1
Nevada,Western Athletic,1
New Mexico,Mountain West,1
New Mexico State,Western Athletic,1
North Carolina,ACC,1
North Texas,Sun Belt,1
Northern Illinois,Mid-American,1
Northwestern,Big Ten,1
Notre Dame,FBS Independents,1
Ohio,Mid-American,1
Ohio State,Big Ten,1
Oklahoma,Big 12,1
Oklahoma State,Big 12,1
Ole Miss,SEC,1
Oregon,Pac-10,1
Oregon State,Pac-10,1
Penn State,Big Ten,1
Pittsburgh,Big East,1
Purdue,Big Ten,1
Rice,Conference USA,1
Rutgers,Big East,1
SMU,Conference USA,1
San Diego State,Mountain West,1
San José State,Western Athletic,1
South Carolina,SEC,1
South Florida,Big East,1
Southern Miss,Conference USA,1
Stanford,Pac-10,1
Syracuse,Big East,1
TCU,Mountain West,1
Temple,Mid-American,1
Tennessee,SEC,1
Texas,Big 12,1
Texas A&M,Big 12,1
Texas Tech,Big 12,1
Toledo,Mid-American,1
Troy,Sun Belt,1
Tulane,Conference USA,1
Tulsa,Conference USA,1
UAB,Conference USA,1
UCF,Conference USA,1
UCLA,Pac-10,1
UConn,Big East,1
UL Monroe,Sun Belt,1
UNLV,Mountain West,1
USC,Pac-10,1
UTEP,Conference USA,1
Utah,Mountain West,1
Utah State,Western Athletic,1
Vanderbilt,SEC,1
Virginia,ACC,1
Virginia Tech,ACC,1
Wake Forest,ACC,1
Washington,Pac-10,1
Washington State,Pac-10,1
West Virginia,Big East,1
Western Kentucky,FBS Independents,1
Western Michigan,Mid-American,1
Wisconsin,Big Ten,1
Wyoming,Mountain West,1
