game_id,season_year,week,date,season_type,home_team,away_team,home_conference,away_conference,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
54649,1987,1,1987-08-30,regular,Tennessee,Iowa,SEC,Big Ten,23,22,0,regular,regular,0,
54650,1987,2,1987-09-02,regular,BYU,Pittsburgh,Western Athletic,FBS Independents,17,27,0,regular,regular,0,
54651,1987,2,1987-09-05,regular,Alabama,Southern Miss,SEC,FBS Independents,38,6,0,regular,regular,0,
54684,1987,2,1987-09-05,regular,UCLA,San Diego State,Pac-10,Western Athletic,47,14,0,regular,regular,0,
54661,1987,2,1987-09-05,regular,Florida State,Texas Tech,FBS Independents,Southwest,40,16,0,regular,regular,0,
54670,1987,2,1987-09-05,regular,Mississippi State,Louisiana,SEC,FBS Independents,31,3,0,regular,regular,0,
54674,1987,2,1987-09-05,regular,Oklahoma State,Tulsa,Big 8,FBS Independents,39,28,0,regular,regular,0,
54681,1987,2,1987-09-05,regular,Toledo,Temple,Mid-American,FBS Independents,12,13,0,regular,regular,0,
54672,1987,2,1987-09-05,regular,North Carolina,Illinois,ACC,Big Ten,34,14,0,regular,regular,0,
54685,1987,2,1987-09-05,regular,Utah,New Mexico,Western Athletic,Western Athletic,24,20,0,regular,regular,0,
54677,1987,2,1987-09-05,regular,Cincinnati,Rutgers,FBS Independents,FBS Independents,7,10,0,regular,regular,0,
54687,1987,2,1987-09-05,regular,Washington State,Fresno State,Pac-10,PCAA,41,24,0,regular,regular,0,
54680,1987,2,1987-09-05,regular,Syracuse,Maryland,FBS Independents,ACC,25,11,0,regular,regular,0,
54662,1987,2,1987-09-05,regular,Georgia,Virginia,SEC,ACC,30,22,0,regular,regular,0,
54671,1987,2,1987-09-05,regular,Nebraska,Utah State,Big 8,PCAA,56,12,0,regular,regular,0,
54686,1987,2,1987-09-05,regular,Washington,Stanford,Pac-10,Pac-10,31,21,0,regular,regular,0,
54655,1987,2,1987-09-05,regular,Boston College,TCU,FBS Independents,Southwest,38,20,0,regular,regular,0,
54656,1987,2,1987-09-05,regular,California,Pacific,Pac-10,PCAA,42,0,0,regular,regular,0,
54683,1987,2,1987-09-05,regular,UTEP,New Mexico State,Western Athletic,PCAA,31,0,0,regular,regular,0,
54667,1987,2,1987-09-05,regular,Memphis,Ole Miss,FBS Independents,SEC,16,10,0,regular,regular,0,
54665,1987,2,1987-09-05,regular,Texas A&M,LSU,Southwest,SEC,3,17,0,regular,regular,0,
54652,1987,2,1987-09-05,regular,Auburn,Texas,SEC,Southwest,31,3,0,regular,regular,0,
54682,1987,2,1987-09-05,regular,Tennessee,Colorado State,SEC,Western Athletic,49,3,0,regular,regular,0,
54669,1987,2,1987-09-05,regular,Central Michigan,Miami (OH),Mid-American,Mid-American,6,15,0,regular,regular,0,
54663,1987,2,1987-09-05,regular,Hawai'i,Cal State Fullerton,Western Athletic,PCAA,44,0,0,regular,regular,0,
54689,1987,2,1987-09-05,regular,Western Michigan,Akron,Mid-American,FBS Independents,24,19,0,regular,regular,0,
54659,1987,2,1987-09-05,regular,NC State,East Carolina,ACC,FBS Independents,14,32,0,regular,regular,0,
54690,1987,2,1987-09-05,regular,Wyoming,Air Force,Western Athletic,Western Athletic,27,13,0,regular,regular,0,
54666,1987,2,1987-09-05,regular,Louisville,Tulane,FBS Independents,FBS Independents,42,40,0,regular,regular,0,
54688,1987,2,1987-09-05,regular,West Virginia,Ohio,FBS Independents,Mid-American,23,3,0,regular,regular,0,
54668,1987,2,1987-09-05,regular,Miami,Florida,FBS Independents,SEC,31,4,0,regular,regular,0,
54675,1987,2,1987-09-05,regular,Penn State,Bowling Green,FBS Independents,Mid-American,45,19,0,regular,regular,0,
54691,1987,2,1987-09-07,regular,Michigan State,USC,Big Ten,Pac-10,27,13,0,regular,regular,0,
54733,1987,3,1987-09-12,regular,California,San José State,Pac-10,PCAA,25,27,0,regular,regular,0,
54719,1987,3,1987-09-12,regular,Maryland,Virginia,ACC,ACC,21,19,0,regular,regular,0,
54711,1987,3,1987-09-12,regular,Indiana,Rice,Big Ten,Southwest,35,13,0,regular,regular,0,
54693,1987,3,1987-09-12,regular,Penn State,Alabama,FBS Independents,SEC,13,24,0,regular,regular,0,
54724,1987,3,1987-09-12,regular,Michigan,Notre Dame,Big Ten,FBS Independents,7,26,0,regular,regular,0,
54694,1987,3,1987-09-12,regular,Illinois,Arizona State,Big Ten,Pac-10,7,21,0,regular,regular,0,
54696,1987,3,1987-09-12,regular,Auburn,Kansas,SEC,Big 8,49,0,0,regular,regular,0,
54737,1987,3,1987-09-12,regular,Texas Tech,Colorado State,Southwest,Western Athletic,33,24,0,regular,regular,0,
54729,1987,3,1987-09-12,regular,Colorado,Oregon,Big 8,Pac-10,7,10,0,regular,regular,0,
54726,1987,3,1987-09-12,regular,Ohio State,West Virginia,Big Ten,FBS Independents,24,3,0,regular,regular,0,
54702,1987,3,1987-09-12,regular,Duke,Northwestern,ACC,Big Ten,31,16,0,regular,regular,0,
54722,1987,3,1987-09-12,regular,Nebraska,UCLA,Big 8,Pac-10,42,33,0,regular,regular,0,
54700,1987,3,1987-09-12,regular,Louisville,Cincinnati,FBS Independents,FBS Independents,0,25,0,regular,regular,0,
54732,1987,3,1987-09-12,regular,San Diego State,Utah,Western Athletic,Western Athletic,52,34,0,regular,regular,0,
54698,1987,3,1987-09-12,regular,Texas,BYU,Southwest,Western Athletic,17,22,0,regular,regular,0,
54721,1987,3,1987-09-12,regular,Missouri,Baylor,Big 8,Southwest,23,18,0,regular,regular,0,
54707,1987,3,1987-09-12,regular,Georgia,Oregon State,SEC,Pac-10,41,7,0,regular,regular,0,
54743,1987,3,1987-09-12,regular,Washington State,Wyoming,Pac-10,Western Athletic,43,28,0,regular,regular,0,
54712,1987,3,1987-09-12,regular,Arizona,Iowa,Pac-10,Big Ten,14,15,0,regular,regular,0,
54704,1987,3,1987-09-12,regular,Florida,Tulsa,SEC,FBS Independents,52,0,0,regular,regular,0,
54723,1987,3,1987-09-12,regular,New Mexico State,New Mexico,PCAA,Western Athletic,17,14,0,regular,regular,0,
54745,1987,3,1987-09-12,regular,Wisconsin,Hawai'i,Big Ten,Western Athletic,28,7,0,regular,regular,0,
54727,1987,3,1987-09-12,regular,Oklahoma,North Carolina,Big 8,ACC,28,0,0,regular,regular,0,
54717,1987,3,1987-09-12,regular,Louisiana,UNLV,FBS Independents,PCAA,21,10,0,regular,regular,0,
54713,1987,3,1987-09-12,regular,Akron,Kent State,FBS Independents,Mid-American,23,27,0,regular,regular,0,
54701,1987,3,1987-09-12,regular,Virginia Tech,Clemson,FBS Independents,ACC,10,22,0,regular,regular,0,
54695,1987,3,1987-09-12,regular,Ole Miss,Arkansas,SEC,Southwest,10,31,0,regular,regular,0,
