game_id,season_year,week,date,season_type,home_team,away_team,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
59740,1995,1,1995-08-26,regular,Michigan,Virginia,18,17,0,regular,regular,0,
59741,1995,1,1995-08-27,regular,Ohio State,Boston College,38,6,0,regular,regular,0,
59746,1995,2,1995-08-31,regular,Oklahoma State,Nebraska,21,64,0,regular,regular,0,
59748,1995,2,1995-08-31,regular,Southern Miss,Northern Illinois,45,13,0,regular,regular,0,
59743,1995,2,1995-08-31,regular,Miami (OH),Ball State,15,17,0,regular,regular,0,
59745,1995,2,1995-08-31,regular,Bowling Green,Louisiana Tech,21,28,0,regular,regular,0,
59744,1995,2,1995-08-31,regular,Iowa State,Ohio,36,21,0,regular,regular,0,
59788,1995,2,1995-09-02,regular,Texas A&M,LSU,33,17,0,regular,regular,0,
59759,1995,2,1995-09-02,regular,Akron,Eastern Michigan,29,49,0,regular,regular,0,
59770,1995,2,1995-09-02,regular,Illinois,Michigan,14,38,0,regular,regular,0,
59762,1995,2,1995-09-02,regular,Fresno State,UL Monroe,31,17,0,regular,regular,0,
59772,1995,2,1995-09-02,regular,Missouri,North Texas,28,7,0,regular,regular,0,
59763,1995,2,1995-09-02,regular,Georgia,South Carolina,42,23,0,regular,regular,0,
59760,1995,2,1995-09-02,regular,Florida,Houston,45,21,0,regular,regular,0,
59784,1995,2,1995-09-02,regular,San José State,Stanford,33,47,0,regular,regular,0,
59782,1995,2,1995-09-02,regular,San Diego State,California,33,9,0,regular,regular,0,
59777,1995,2,1995-09-02,regular,Utah,Oregon,20,27,0,regular,regular,0,
59768,1995,2,1995-09-02,regular,Kentucky,Louisville,10,13,0,regular,regular,0,
59779,1995,2,1995-09-02,regular,Pittsburgh,Washington State,17,13,0,regular,regular,0,
59771,1995,2,1995-09-02,regular,Mississippi State,Memphis,28,18,0,regular,regular,0,
59786,1995,2,1995-09-02,regular,Tennessee,East Carolina,27,7,0,regular,regular,0,
59755,1995,2,1995-09-02,regular,Tulsa,Baylor,5,37,0,regular,regular,0,
59775,1995,2,1995-09-02,regular,New Mexico State,UTEP,45,17,0,regular,regular,0,
59753,1995,2,1995-09-02,regular,Arkansas State,Utah State,21,17,0,regular,regular,0,
59769,1995,2,1995-09-02,regular,Tulane,Maryland,10,29,0,regular,regular,0,
59787,1995,2,1995-09-02,regular,Hawai'i,Texas,17,38,0,regular,regular,0,
59750,1995,2,1995-09-02,regular,Air Force,BYU,38,12,0,regular,regular,0,
59761,1995,2,1995-09-02,regular,Florida State,Duke,70,26,0,regular,regular,0,
59781,1995,2,1995-09-02,regular,Rice,UNLV,38,0,0,regular,regular,0,
59765,1995,2,1995-09-02,regular,Kansas,Cincinnati,23,18,0,regular,regular,0,
59757,1995,2,1995-09-02,regular,Wisconsin,Colorado,7,43,0,regular,regular,0,
59789,1995,2,1995-09-02,regular,UCLA,Miami,31,8,0,regular,regular,0,
59785,1995,2,1995-09-02,regular,North Carolina,Syracuse,9,20,0,regular,regular,0,
59752,1995,2,1995-09-02,regular,Arizona,Pacific,41,9,0,regular,regular,0,
59783,1995,2,1995-09-02,regular,SMU,Arkansas,17,14,0,regular,regular,0,
59766,1995,2,1995-09-02,regular,Kansas State,Temple,34,7,0,regular,regular,0,
59776,1995,2,1995-09-02,regular,Notre Dame,Northwestern,15,17,0,regular,regular,0,
59780,1995,2,1995-09-02,regular,West Virginia,Purdue,24,26,0,regular,regular,0,
59754,1995,2,1995-09-02,regular,Auburn,Ole Miss,46,13,0,regular,regular,0,
59751,1995,2,1995-09-02,regular,Vanderbilt,Alabama,25,33,0,regular,regular,0,
59773,1995,2,1995-09-02,regular,Nevada,Louisiana,38,14,0,regular,regular,0,
59791,1995,2,1995-09-02,regular,Washington,Arizona State,23,20,0,regular,regular,0,
59792,1995,3,1995-09-07,regular,Arizona,Georgia Tech,20,19,0,regular,regular,0,
59793,1995,3,1995-09-07,regular,Virginia Tech,Boston College,14,20,0,regular,regular,0,
59794,1995,3,1995-09-09,regular,Air Force,Wyoming,34,10,0,regular,regular,0,
59822,1995,3,1995-09-09,regular,Michigan,Memphis,24,7,0,regular,regular,0,
59804,1995,3,1995-09-09,regular,Colorado,Colorado State,42,14,0,regular,regular,0,
