game_id,season_year,week,date,season_type,home_team,away_team,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
53339,1985,1,1985-08-29,regular,BYU,Boston College,28,14,0,regular,regular,0,
53342,1985,1,1985-08-31,regular,Cincinnati,Virginia Tech,31,14,0,regular,regular,0,
53348,1985,1,1985-08-31,regular,Pittsburgh,Purdue,31,30,0,regular,regular,0,
53340,1985,1,1985-08-31,regular,Air Force,UTEP,48,6,0,regular,regular,0,
53344,1985,1,1985-08-31,regular,Hawai'i,Kansas,27,33,0,regular,regular,0,
53341,1985,1,1985-08-31,regular,California,San José State,48,21,0,regular,regular,0,
53343,1985,1,1985-08-31,regular,Tulane,Florida State,12,38,0,regular,regular,0,
53345,1985,1,1985-08-31,regular,Louisiana,Memphis,6,37,0,regular,regular,0,
53347,1985,1,1985-08-31,regular,Washington State,Oregon,39,42,0,regular,regular,0,
53351,1985,1,1985-09-02,regular,Georgia,Alabama,16,20,0,regular,regular,0,
53385,1985,2,1985-09-07,regular,Texas Tech,New Mexico,32,31,0,regular,regular,0,
53380,1985,2,1985-09-07,regular,San José State,New Mexico State,32,3,0,regular,regular,0,
53393,1985,2,1985-09-07,regular,West Virginia,Louisville,52,13,0,regular,regular,0,
53386,1985,2,1985-09-07,regular,Tulsa,Houston,31,24,0,regular,regular,0,
53365,1985,2,1985-09-07,regular,Nebraska,Florida State,13,17,0,regular,regular,0,
53362,1985,2,1985-09-07,regular,NC State,East Carolina,14,33,0,regular,regular,0,
53387,1985,2,1985-09-07,regular,BYU,UCLA,24,27,0,regular,regular,0,
53383,1985,2,1985-09-07,regular,SMU,UTEP,35,23,0,regular,regular,0,
53361,1985,2,1985-09-07,regular,Duke,Northwestern,40,17,0,regular,regular,0,
53359,1985,2,1985-09-07,regular,Colorado,Colorado State,23,10,0,regular,regular,0,
53368,1985,2,1985-09-07,regular,Ole Miss,Memphis,17,17,0,regular,regular,0,
53378,1985,2,1985-09-07,regular,Maryland,Penn State,18,20,0,regular,regular,0,
53374,1985,2,1985-09-07,regular,Northern Illinois,Western Michigan,17,0,0,regular,regular,0,
53373,1985,2,1985-09-07,regular,Navy,North Carolina,19,21,0,regular,regular,0,
53364,1985,2,1985-09-07,regular,Miami,Florida,23,35,0,regular,regular,0,
53356,1985,2,1985-09-07,regular,Boston College,Temple,28,25,0,regular,regular,0,
53375,1985,2,1985-09-07,regular,Washington,Oklahoma State,17,31,0,regular,regular,0,
53392,1985,2,1985-09-07,regular,Washington State,California,20,19,0,regular,regular,0,
53382,1985,2,1985-09-07,regular,Illinois,USC,10,20,0,regular,regular,0,
53389,1985,2,1985-09-07,regular,Long Beach State,Utah State,17,19,0,regular,regular,0,
53353,1985,2,1985-09-07,regular,Arizona,Toledo,23,10,0,regular,regular,0,
53394,1985,2,1985-09-07,regular,Kansas State,Wichita State,10,16,0,regular,regular,0,
53355,1985,2,1985-09-07,regular,Baylor,Wyoming,39,18,0,regular,regular,0,
53357,1985,2,1985-09-07,regular,Ball State,Bowling Green,6,31,0,regular,regular,0,
53354,1985,2,1985-09-07,regular,Auburn,Louisiana,49,7,0,regular,regular,0,
53445,1985,3,1985-09-14,regular,UCLA,Tennessee,26,26,0,regular,regular,0,
53439,1985,3,1985-09-14,regular,Penn State,Temple,27,25,0,regular,regular,0,
53444,1985,3,1985-09-14,regular,Tulsa,Texas Tech,17,21,0,regular,regular,0,
53438,1985,3,1985-09-14,regular,Oregon State,California,23,20,0,regular,regular,0,
53441,1985,3,1985-09-14,regular,Long Beach State,San Diego State,14,34,0,regular,regular,0,
53395,1985,3,1985-09-14,regular,Wyoming,Air Force,7,49,0,regular,regular,0,
53398,1985,3,1985-09-14,regular,Arizona,Washington State,12,7,0,regular,regular,0,
53443,1985,3,1985-09-14,regular,TCU,Tulane,30,13,0,regular,regular,0,
53442,1985,3,1985-09-14,regular,Stanford,San José State,41,7,0,regular,regular,0,
53408,1985,3,1985-09-14,regular,Colorado State,UTEP,41,24,0,regular,regular,0,
53407,1985,3,1985-09-14,regular,Colorado,Oregon,21,17,0,regular,regular,0,
53401,1985,3,1985-09-14,regular,Auburn,Southern Miss,29,18,0,regular,regular,0,
53413,1985,3,1985-09-14,regular,Georgia,Baylor,17,14,0,regular,regular,0,
53420,1985,3,1985-09-14,regular,Kansas,Vanderbilt,42,16,0,regular,regular,0,
53446,1985,3,1985-09-14,regular,Hawai'i,Utah,27,29,0,regular,regular,0,
53419,1985,3,1985-09-14,regular,Iowa State,Utah State,10,3,0,regular,regular,0,
53417,1985,3,1985-09-14,regular,Indiana,Louisville,41,28,0,regular,regular,0,
53404,1985,3,1985-09-14,regular,Central Michigan,Pacific,27,10,0,regular,regular,0,
53426,1985,3,1985-09-14,regular,Ball State,Miami (OH),13,17,0,regular,regular,0,
53402,1985,3,1985-09-14,regular,Kentucky,Bowling Green,26,30,0,regular,regular,0,
53400,1985,3,1985-09-14,regular,Army,Western Michigan,48,6,0,regular,regular,0,
53424,1985,3,1985-09-14,regular,Boston College,Maryland,13,31,0,regular,regular,0,
53428,1985,3,1985-09-14,regular,Michigan State,Arizona State,12,3,0,regular,regular,0,
53427,1985,3,1985-09-14,regular,Michigan,Notre Dame,20,12,0,regular,regular,0,
53430,1985,3,1985-09-14,regular,Mississippi State,Syracuse,30,3,0,regular,regular,0,
53429,1985,3,1985-09-14,regular,Minnesota,Wichita State,28,14,0,regular,regular,0,
53397,1985,3,1985-09-14,regular,Alabama,Texas A&M,23,10,0,regular,regular,0,
53435,1985,3,1985-09-14,regular,Missouri,Northwestern,23,27,0,regular,regular,0,
53399,1985,3,1985-09-14,regular,Ole Miss,Arkansas,19,24,0,regular,regular,0,
53414,1985,3,1985-09-14,regular,NC State,Georgia Tech,18,28,0,regular,regular,0,
53421,1985,3,1985-09-14,regular,North Carolina,LSU,13,23,0,regular,regular,0,
53412,1985,3,1985-09-14,regular,Fresno State,UNLV,26,6,0,regular,regular,0,
53450,1985,3,1985-09-14,regular,West Virginia,Duke,20,18,0,regular,regular,0,
53451,1985,3,1985-09-14,regular,Wisconsin,Northern Illinois,38,17,0,regular,regular,0,
53440,1985,3,1985-09-14,regular,Rutgers,Florida,28,28,0,regular,regular,0,
53433,1985,3,1985-09-14,regular,New Mexico State,New Mexico,27,34,0,regular,regular,0,
53406,1985,3,1985-09-14,regular,Virginia Tech,Clemson,17,20,0,regular,regular,0,
53403,1985,3,1985-09-14,regular,BYU,Washington,31,3,0,regular,regular,0,
53425,1985,3,1985-09-14,regular,Rice,Miami,20,48,0,regular,regular,0,
53436,1985,3,1985-09-14,regular,Ohio State,Pittsburgh,10,7,0,regular,regular,0,
53457,1985,4,1985-09-21,regular,Arkansas,Tulsa,24,0,0,regular,regular,0,
53483,1985,4,1985-09-21,regular,Mississippi State,Southern Miss,23,20,0,regular,regular,0,
53467,1985,4,1985-09-21,regular,Clemson,Georgia,13,20,0,regular,regular,0,
53460,1985,4,1985-09-21,regular,Pittsburgh,Boston College,22,29,0,regular,regular,0,
53490,1985,4,1985-09-21,regular,Penn State,East Carolina,17,10,0,regular,regular,0,
53471,1985,4,1985-09-21,regular,Iowa State,Vanderbilt,20,17,0,regular,regular,0,
53470,1985,4,1985-09-21,regular,Iowa,Northern Illinois,48,20,0,regular,regular,0,
53486,1985,4,1985-09-21,regular,Wake Forest,NC State,17,20,0,regular,regular,0,
53469,1985,4,1985-09-21,regular,Indiana,Navy,38,35,0,regular,regular,0,
53455,1985,4,1985-09-21,regular,California,Arizona,17,23,0,regular,regular,0,
53474,1985,4,1985-09-21,regular,Hawai'i,Long Beach State,30,33,0,regular,regular,0,
53487,1985,4,1985-09-21,regular,Notre Dame,Michigan State,27,10,0,regular,regular,0,
53484,1985,4,1985-09-21,regular,Nebraska,Illinois,52,25,0,regular,regular,0,
53452,1985,4,1985-09-21,regular,Air Force,Rice,59,17,0,regular,regular,0,
53480,1985,4,1985-09-21,regular,South Carolina,Michigan,3,34,0,regular,regular,0,
53473,1985,4,1985-09-21,regular,Kentucky,Tulane,16,11,0,regular,regular,0,
53462,1985,4,1985-09-21,regular,Temple,BYU,24,26,0,regular,regular,0,
53501,1985,4,1985-09-21,regular,Georgia Tech,Virginia,13,24,0,regular,regular,0,
53476,1985,4,1985-09-21,regular,LSU,Colorado State,17,3,0,regular,regular,0,
53458,1985,4,1985-09-21,regular,Army,Rutgers,20,16,0,regular,regular,0,
