game_id,season_year,week,date,season_type,home_team,away_team,home_conference,away_conference,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
232352306,2003,1,2003-08-23,regular,Kansas State,California,Big 12,Pac-10,10,7,0,regular,regular,0,BCA CLASSIC AT KANSAS CITY MO
232402348,2003,2,2003-08-28,regular,Louisiana Tech,Miami,Western Athletic,Big East,9,48,0,regular,regular,0,
232402006,2003,2,2003-08-28,regular,Akron,Kent State,Mid-American,Mid-American,38,41,0,regular,regular,0,
232402459,2003,2,2003-08-28,regular,Northern Illinois,Maryland,Mid-American,ACC,20,13,1,regular,regular,0,
232400254,2003,2,2003-08-29,regular,Utah,Utah State,Mountain West,Sun Belt,40,20,0,regular,regular,0,
232400252,2003,2,2003-08-29,regular,BYU,Georgia Tech,Mountain West,ACC,24,13,0,regular,regular,0,
232412439,2003,2,2003-08-30,regular,UNLV,Toledo,Mountain West,Mid-American,28,18,0,regular,regular,0,
232420142,2003,2,2003-08-30,regular,Missouri,Illinois,Big 12,Big Ten,22,15,0,regular,regular,0,
232420041,2003,2,2003-08-30,regular,UConn,Indiana,FBS Independents,Big Ten,34,10,0,regular,regular,0,
232420228,2003,2,2003-08-30,regular,Clemson,Georgia,ACC,SEC,0,30,0,regular,regular,0,
232420277,2003,2,2003-08-30,regular,West Virginia,Wisconsin,Big East,Big Ten,17,24,0,regular,regular,0,
232422294,2003,2,2003-08-30,regular,Iowa,Miami (OH),Big Ten,Mid-American,21,3,0,regular,regular,0,
232420130,2003,2,2003-08-30,regular,Michigan,Central Michigan,Big Ten,Mid-American,45,7,0,regular,regular,0,
232420238,2003,2,2003-08-30,regular,Vanderbilt,Ole Miss,SEC,SEC,21,24,0,regular,regular,0,
232420103,2003,2,2003-08-30,regular,Boston College,Wake Forest,Big East,ACC,28,32,0,regular,regular,0,
232422633,2003,2,2003-08-30,regular,Tennessee,Fresno State,SEC,Western Athletic,24,6,0,regular,regular,0,
232420158,2003,2,2003-08-30,regular,Nebraska,Oklahoma State,Big 12,Big 12,17,7,0,regular,regular,0,
232420213,2003,2,2003-08-30,regular,Penn State,Temple,Big Ten,Big East,23,10,0,regular,regular,0,
232420127,2003,2,2003-08-30,regular,Michigan State,Western Michigan,Big Ten,Mid-American,26,21,0,regular,regular,0,
