game_id,season_year,week,date,season_type,home_team,away_team,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
60380,1996,1,1996-08-24,regular,BYU,Texas A&M,41,37,0,regular,regular,0,
60381,1996,1,1996-08-25,regular,Penn State,USC,24,7,0,regular,regular,0,
60387,1996,2,1996-08-29,regular,Ohio,Akron,44,14,0,regular,regular,0,
60384,1996,2,1996-08-29,regular,Kansas,Ball State,35,10,0,regular,regular,0,
60386,1996,2,1996-08-29,regular,New Mexico State,New Mexico,7,28,0,regular,regular,0,
60389,1996,2,1996-08-30,regular,Cincinnati,Tulane,14,34,0,regular,regular,0,
60392,1996,2,1996-08-31,regular,Arizona,UTEP,23,3,0,regular,regular,0,
60391,1996,2,1996-08-31,regular,Alabama,Bowling Green,21,7,0,regular,regular,0,
60396,1996,2,1996-08-31,regular,Boise State,Central Michigan,21,42,0,regular,regular,0,
60390,1996,2,1996-08-31,regular,Air Force,San José State,45,0,0,regular,regular,0,
60406,1996,2,1996-08-31,regular,Miami (OH),Kent State,64,6,0,regular,regular,0,
60417,1996,2,1996-08-31,regular,Tennessee,UNLV,62,3,0,regular,regular,0,
60394,1996,2,1996-08-31,regular,Hawai'i,Boston College,21,24,0,regular,regular,0,
60418,1996,2,1996-08-31,regular,Texas,Missouri,40,10,0,regular,regular,0,
60420,1996,2,1996-08-31,regular,Pittsburgh,West Virginia,0,34,0,regular,regular,0,
60403,1996,2,1996-08-31,regular,Kentucky,Louisville,14,38,0,regular,regular,0,
60399,1996,2,1996-08-31,regular,Florida,Louisiana,55,21,0,regular,regular,0,
60405,1996,2,1996-08-31,regular,Memphis,Miami,7,30,0,regular,regular,0,
60410,1996,2,1996-08-31,regular,North Carolina,Clemson,45,0,0,regular,regular,0,
60393,1996,2,1996-08-31,regular,Auburn,UAB,29,0,0,regular,regular,0,
60421,1996,2,1996-08-31,regular,Wyoming,Idaho,40,38,0,regular,regular,0,
60407,1996,2,1996-08-31,regular,Michigan,Illinois,20,8,0,regular,regular,0,
60395,1996,2,1996-08-31,regular,BYU,Arkansas State,58,9,0,regular,regular,0,
60397,1996,2,1996-08-31,regular,Colorado,Washington State,37,19,0,regular,regular,0,
60416,1996,2,1996-08-31,regular,Eastern Michigan,Temple,24,28,0,regular,regular,0,
60412,1996,2,1996-08-31,regular,Fresno State,Oregon,27,30,0,regular,regular,0,
60404,1996,2,1996-08-31,regular,Maryland,Northern Illinois,30,6,0,regular,regular,0,
60401,1996,2,1996-08-31,regular,Kansas State,Texas Tech,21,14,0,regular,regular,0,
60408,1996,2,1996-08-31,regular,Michigan State,Purdue,52,14,0,regular,regular,0,
60414,1996,2,1996-08-31,regular,SMU,Tulsa,17,10,0,regular,regular,0,
60419,1996,2,1996-08-31,regular,Utah State,Utah,20,17,0,regular,regular,0,
60415,1996,2,1996-08-31,regular,Georgia,Southern Miss,7,11,0,regular,regular,0,
60422,1996,3,1996-09-05,regular,Vanderbilt,Notre Dame,7,14,0,regular,regular,0,
60462,1996,3,1996-09-07,regular,Arkansas,SMU,10,23,0,regular,regular,0,
60450,1996,3,1996-09-07,regular,Nebraska,Michigan State,55,14,0,regular,regular,0,
60431,1996,3,1996-09-07,regular,Cincinnati,Kentucky,24,3,0,regular,regular,0,
60428,1996,3,1996-09-07,regular,Louisiana Tech,Baylor,16,24,0,regular,regular,0,
60442,1996,3,1996-09-07,regular,Maryland,UAB,39,15,0,regular,regular,0,
60476,1996,3,1996-09-07,regular,Iowa State,Wyoming,38,41,0,regular,regular,0,
60475,1996,3,1996-09-07,regular,Wisconsin,Eastern Michigan,24,3,0,regular,regular,0,
60425,1996,3,1996-09-07,regular,Arizona State,Washington,45,42,0,regular,regular,0,
60456,1996,3,1996-09-07,regular,Oregon,Nevada,44,30,0,regular,regular,0,
60424,1996,3,1996-09-07,regular,Alabama,Southern Miss,20,10,0,regular,regular,0,
60460,1996,3,1996-09-07,regular,South Carolina,UCF,33,14,0,regular,regular,0,
60437,1996,3,1996-09-07,regular,NC State,Georgia Tech,16,28,0,regular,regular,0,
60465,1996,3,1996-09-07,regular,Oklahoma,TCU,7,20,0,regular,regular,0,
60472,1996,3,1996-09-07,regular,Temple,Washington State,34,38,0,regular,regular,0,
60438,1996,3,1996-09-07,regular,Toledo,Indiana,6,40,0,regular,regular,0,
60433,1996,3,1996-09-07,regular,Colorado State,Colorado,34,48,0,regular,regular,0,
60471,1996,3,1996-09-07,regular,Wake Forest,Northwestern,28,27,0,regular,regular,0,
60436,1996,3,1996-09-07,regular,Florida State,Duke,44,7,0,regular,regular,0,
60463,1996,3,1996-09-07,regular,Tennessee,UCLA,35,20,0,regular,regular,0,
60467,1996,3,1996-09-07,regular,Stanford,Utah,10,17,0,regular,regular,0,
60461,1996,3,1996-09-07,regular,Illinois,USC,3,55,0,regular,regular,0,
60469,1996,3,1996-09-07,regular,Virginia,Central Michigan,55,21,0,regular,regular,0,
60473,1996,3,1996-09-07,regular,West Virginia,Western Michigan,34,9,0,regular,regular,0,
60444,1996,3,1996-09-07,regular,Ball State,Miami (OH),6,16,0,regular,regular,0,
60458,1996,3,1996-09-07,regular,Pittsburgh,Kent State,52,14,0,regular,regular,0,
60441,1996,3,1996-09-07,regular,LSU,Houston,35,34,0,regular,regular,0,
60459,1996,3,1996-09-07,regular,San Diego State,Idaho,40,21,0,regular,regular,0,
60423,1996,3,1996-09-07,regular,UNLV,Air Force,17,65,0,regular,regular,0,
60447,1996,3,1996-09-07,regular,Memphis,Mississippi State,10,31,0,regular,regular,0,
60445,1996,3,1996-09-07,regular,UL Monroe,Minnesota,3,30,0,regular,regular,0,
60457,1996,3,1996-09-07,regular,Penn State,Louisville,24,7,0,regular,regular,0,
60470,1996,3,1996-09-07,regular,Akron,Virginia Tech,18,21,0,regular,regular,0,
60466,1996,3,1996-09-07,regular,Texas Tech,Oklahoma State,31,3,0,regular,regular,0,
60454,1996,3,1996-09-07,regular,Hawai'i,Ohio,10,21,0,regular,regular,0,
60439,1996,3,1996-09-07,regular,Iowa,Arizona,21,20,0,regular,regular,0,
60455,1996,3,1996-09-07,regular,Ohio State,Rice,70,7,0,regular,regular,0,
60427,1996,3,1996-09-07,regular,Auburn,Fresno State,62,0,0,regular,regular,0,
