season_year,team,conference,garbage_time_excluded,off_plays,off_ppa,off_success_rate,off_explosiveness,off_pts_per_opp,off_line_yards,off_stuff_rate,off_havoc,def_plays,def_ppa,def_success_rate,def_explosiveness,def_pts_per_opp,def_line_yards,def_stuff_rate,def_havoc
2014,Air Force,Mountain West,1,983,0.18258637169735137,0.45676500508647,1.0247451266766503,3.909090909090909,3.050533333333333,0.16133333333333333,0.015,879,0.13340485956040782,0.37656427758816835,1.4213780478492755,3.223684210526316,2.4168646080760094,0.21140142517814728,0.013
2014,Akron,Mid-American,1,810,0.02790568586091518,0.4123456790123457,1.063792982021372,2.7142857142857144,3.0480392156862743,0.19281045751633988,0.022,760,0.12339188583248993,0.40921052631578947,1.1916645072285923,3.025,2.876502732240437,0.226775956284153,0.017
2014,Alabama,SEC,1,933,0.31415411233361296,0.5155412647374062,1.1890774876057764,4.196078431372549,3.364765784114053,0.14663951120162932,0.032,884,0.05382432501757387,0.3755656108597285,1.1760781213436398,2.7027027027027026,2.2849872773536894,0.26717557251908397,0.017
2014,App State,Sun Belt,1,747,0.26063766713120234,0.45113788487282463,1.2808786263343048,4,3.122843822843823,0.1888111888111888,0.022,676,0.1380593085328775,0.3994082840236686,1.253345770129922,3.6056338028169015,2.863253012048193,0.21385542168674698,0.023
2014,Arizona,Pac-12,1,1080,0.1871386710462428,0.4203703703703704,1.2598975768065002,3.686868686868687,3.1243243243243244,0.17463617463617465,0.018,1038,0.16340143492151532,0.4296724470134875,1.1999903083736585,3.3846153846153846,2.6876470588235293,0.20392156862745098,0.014
2014,Arizona State,Pac-12,1,829,0.15220817394241823,0.4270205066344994,1.276720231951737,3.752808988764045,2.6903307888040713,0.23918575063613232,0.018,857,0.07052300785481569,0.39556592765460913,1.2948431028346417,3.1194029850746268,2.497355769230769,0.2283653846153846,0.031
2014,Arkansas,SEC,1,795,0.19800315572756189,0.4490566037735849,1.222039897260191,3.6477272727272725,2.9836244541484715,0.19868995633187772,0.015,694,0.11795883688501485,0.40778097982708933,1.2316989445592177,2.4411764705882355,2.4783382789317505,0.258160237388724,0.022
2014,Arkansas State,Sun Belt,1,938,0.16227452844682258,0.42857142857142855,1.2572473664898767,3.7419354838709675,2.6067901234567903,0.23868312757201646,0.017,877,0.16590296235554627,0.41961231470923605,1.218987529852684,2.9555555555555557,3.0079331941544885,0.19624217118997914,0.018
2014,Army,FBS Independents,1,748,0.18730573452425178,0.446524064171123,1.1294914369996503,3.2535211267605635,3.0119808306709266,0.17412140575079874,0.014,781,0.2459967519898676,0.49167733674775926,1.210519231092095,4.0625,3.05609756097561,0.2146341463414634,0.015
2014,Auburn,SEC,1,898,0.2674956089767926,0.49443207126948774,1.1615059817235036,4.264367816091954,3.3005424954792044,0.1717902350813743,0.015,854,0.15666585320710263,0.4309133489461358,1.216816421370859,2.978723404255319,2.849772727272727,0.22272727272727272,0.037
2014,Ball State,Mid-American,1,878,0.12468019755590108,0.4316628701594533,1.0637571081932689,3.7468354430379747,2.617162471395881,0.2128146453089245,0.029,867,0.16881719377422194,0.461361014994233,1.104505689112072,3.3176470588235296,3.079735682819383,0.14317180616740088,0.024
2014,Baylor,Big 12,1,975,0.2980370478796963,0.49230769230769234,1.218741447525872,4.0085470085470085,3.2121593291404613,0.1530398322851153,0.014,796,0.12767327881761192,0.39949748743718594,1.2806729186913166,3.6153846153846154,2.561455525606469,0.23180592991913745,0.019
2014,Boise State,Mountain West,1,1006,0.25011328663186966,0.46322067594433397,1.2794302183987156,4.10377358490566,2.968796992481203,0.19736842105263158,0.015,883,0.07284421261102489,0.35900339750849375,1.346597576839846,3.0617283950617282,2.6808716707021794,0.22518159806295399,0.025
2014,Boston College,ACC,1,864,0.18264829293525742,0.41550925925925924,1.2860250651115728,3.1707317073170733,2.8968067226890755,0.20672268907563024,0.018,813,0.11793306453482152,0.3972939729397294,1.210443203676526,3.32,2.174722222222222,0.2833333333333333,0.022
2014,Bowling Green,Mid-American,1,1054,0.12379282644047565,0.39753320683111953,1.1936639530599107,3.4947368421052634,2.825,0.20121951219512196,0.021,1073,0.16243435083511984,0.45293569431500463,1.214530364234533,3.5982142857142856,2.8016494845360826,0.24948453608247423,0.018
2014,Buffalo,Mid-American,1,726,0.2445974681482155,0.4393939393939394,1.2948072923482785,3.8701298701298703,2.9347480106100794,0.21750663129973474,0.023,671,0.19900558724610182,0.39046199701937406,1.4352021332334857,4.0588235294117645,2.731117021276596,0.20212765957446807,0.013
2014,BYU,FBS Independents,1,973,0.20977729910482226,0.4563206577595067,1.1696550120650155,3.814814814814815,3.305387931034483,0.16163793103448276,0.017,963,0.1233275091614387,0.3956386292834891,1.2048852928735805,3.4545454545454546,2.7084541062801932,0.1932367149758454,0.019
2014,California,Pac-12,1,904,0.25432364220903436,0.4646017699115044,1.311155532509527,3.8541666666666665,2.759299191374663,0.19137466307277629,0.021,932,0.2710602300343664,0.47639484978540775,1.2398406587572555,4.197916666666667,2.945112781954887,0.17543859649122806,0.015
2014,Central Michigan,Mid-American,1,823,0.17672021594339432,0.47023086269744835,1.1475517450966575,3.9156626506024095,2.7429864253393665,0.21040723981900453,0.019,804,0.1351285095935839,0.40298507462686567,1.293091485421533,3.4939759036144578,2.5335978835978836,0.23809523809523808,0.022
2014,Cincinnati,American Athletic,1,839,0.26543277025732903,0.4576877234803337,1.2783895488088488,4.105263157894737,3.1029649595687334,0.14285714285714285,0.029,866,0.18808940216543782,0.46997690531177827,1.2001305304865502,3.241758241758242,3.0765133171912833,0.17191283292978207,0.014
2014,Clemson,ACC,1,881,0.10278415646801026,0.4199772985244041,1.0983837969451515,3.276595744680851,2.7320185614849186,0.20417633410672853,0.016,747,-0.0251750915870693,0.31057563587684067,1.329671883680137,2.433333333333333,1.9336134453781513,0.31932773109243695,0.029
2014,Colorado,Pac-12,1,948,0.14198061756123684,0.4440928270042194,1.1421982710319007,3.8181818181818183,2.7636138613861387,0.2004950495049505,0.014,832,0.2503564658928767,0.4543269230769231,1.2756581209262112,4.21978021978022,3.279596977329975,0.18387909319899245,0.014
2014,Colorado State,Mountain West,1,741,0.3238172761336172,0.4574898785425101,1.455233444724696,3.962025316455696,2.700920245398773,0.20552147239263804,0.023,784,0.18745941252240508,0.4387755102040816,1.1207979433879287,3.4285714285714284,3.1830588235294117,0.12941176470588237,0.016
2014,Duke,ACC,1,882,0.11921036403188835,0.4410430839002268,1.06108965447183,3.3522727272727275,3.214883720930233,0.12790697674418605,0.018,916,0.1098476464423303,0.45305676855895194,0.9877192171101952,3.119047619047619,3.2625,0.16393442622950818,0.03
2014,East Carolina,American Athletic,1,1031,0.20624739206454282,0.483996120271581,1.1790925883244303,3.6283185840707963,2.8316939890710384,0.19672131147540983,0.017,914,0.10691325717013157,0.387308533916849,1.2055418998646161,3,2.4674185463659146,0.20551378446115287,0.016
2014,Eastern Michigan,Mid-American,1,525,-0.004521160933747256,0.35428571428571426,1.1782154896633499,2.4705882352941178,2.588421052631579,0.25263157894736843,0.02,627,0.3262532404359402,0.47527910685805425,1.2736209199607476,4.08235294117647,2.9770897832817336,0.17956656346749225,0.012
2014,Florida,SEC,1,767,0.04726471670437975,0.38070404172099087,1.117852066488706,3.392405063291139,2.6997747747747747,0.1981981981981982,0.027,787,0.02944967260824125,0.3850063532401525,1.1373080011343368,2.4923076923076923,2.6410187667560323,0.21715817694369974,0.031
2014,Florida Atlantic,Conference USA,1,556,0.1447230596442334,0.42985611510791366,1.1296870514659114,2.890909090909091,3.159515570934256,0.16262975778546712,,595,0.26539549622593117,0.4823529411764706,1.2099296264006845,4.147540983606557,3.6701492537313434,0.08955223880597014,
2014,Florida International,Conference USA,1,646,0.014220687922946966,0.3622291021671827,1.071769809508173,3.0208333333333335,2.5317073170731708,0.18157181571815717,0.036,660,0.03445494814862671,0.37424242424242427,1.345855340569273,2.5,2.6864306784660767,0.20943952802359883,0.025
2014,Florida State,ACC,1,937,0.2424253915720723,0.49306296691568835,1.1434098485932156,3.882978723404255,2.770792079207921,0.2202970297029703,0.026,951,0.10984596808878332,0.4353312302839117,1.1419317099990776,3.4065934065934065,2.7229083665338645,0.199203187250996,0.017
2014,Fresno State,Mountain West,1,982,0.0850143096336734,0.37983706720977595,1.2950123056110816,3.2783505154639174,2.8247422680412373,0.18969072164948453,0.016,918,0.230949784580772,0.4139433551198257,1.343274974382606,3.8351648351648353,2.9097029702970296,0.17425742574257425,0.023
2014,Georgia,SEC,1,761,0.2970164312762093,0.48751642575558474,1.2476588984977592,4.418367346938775,3.3188470066518847,0.1662971175166297,0.015,783,0.12132522221344076,0.4112388250319285,1.1734987984556327,3.1142857142857143,2.7057339449541282,0.17660550458715596,0.025
2014,Georgia Southern,Sun Belt,1,729,0.3236886143355875,0.49657064471879286,1.2043774952602426,4.329670329670329,3.435701598579041,0.1349911190053286,0.015,762,0.13134350983966242,0.43700787401574803,1.156859450155307,3.4,3.1807262569832404,0.17597765363128492,0.029
2014,Georgia State,Sun Belt,1,630,0.1195111875599315,0.3984126984126984,1.3236937214998608,3.6333333333333333,2.4152671755725192,0.2748091603053435,0.034,705,0.34680846622328493,0.5347517730496454,1.1386257146370728,4.733333333333333,3.703044496487119,0.11007025761124122,0.013
2014,Georgia Tech,ACC,1,960,0.3455915803124965,0.5364583333333334,1.1558568307406174,4.0495049504950495,3.3573748308525033,0.13261163734776726,0.014,892,0.17429218548027486,0.4943946188340807,1.1423098706321733,3.2134831460674156,3.0245412844036696,0.19954128440366972,0.03
2014,Hawai'i,Mountain West,1,806,0.058175575654618866,0.36228287841191065,1.2062322372358951,3.0434782608695654,2.64321608040201,0.18592964824120603,0.015,766,0.17471718344587037,0.412532637075718,1.3202329929044836,3.5211267605633805,2.9266839378238343,0.16580310880829016,0.018
2014,Houston,American Athletic,1,873,0.19816580821909927,0.436426116838488,1.2552546079203726,3.392156862745098,2.737590361445783,0.21686746987951808,0.03,848,0.09232725574760038,0.419811320754717,1.062010427314833,3.0759493670886076,3.0676605504587156,0.1720183486238532,0.031
2014,Idaho,Sun Belt,1,795,0.1130878404449107,0.44150943396226416,1.137349473169006,3,3.2414364640883977,0.13812154696132597,0.017,678,0.3024410516909383,0.43215339233038347,1.427457598647536,4.296875,3.0302107728337235,0.1920374707259953,0.028
2014,Illinois,Big Ten,1,801,0.07113908274640758,0.40324594257178525,1.2326792481521875,3.0987654320987654,2.067448680351906,0.24926686217008798,0.021,929,0.18476469009789498,0.43595263724434874,1.2863702410192515,3.5543478260869565,2.969746376811594,0.19927536231884058,0.018
2014,Indiana,Big Ten,1,736,0.19391540454134112,0.42527173913043476,1.2159979706237496,3.3333333333333335,3.1495433789954337,0.20319634703196346,0.023,802,0.14055092643686776,0.4239401496259352,1.1565777330749958,3.4358974358974357,2.8204918032786885,0.21584699453551912,0.028
2014,Iowa,Big Ten,1,878,0.16621858585785565,0.4202733485193622,1.2157282518684664,3.76,2.8457777777777777,0.17333333333333334,0.013,753,0.12595226902510473,0.4249667994687915,1.1428415032656782,3.356164383561644,2.9453164556962026,0.18227848101265823,0.023
2014,Iowa State,Big 12,1,841,0.09395764571604517,0.41379310344827586,1.204494984724263,3.4788732394366195,2.9536363636363636,0.2,0.021,898,0.2779917798468025,0.5211581291759465,1.0895785088959231,3.8645833333333335,3.512,0.14,0.012
2014,Kansas,Big 12,1,738,0.044392021293167494,0.3523035230352303,1.2247339609214318,2.5970149253731343,2.369656992084433,0.22691292875989447,0.014,772,0.20142749227415868,0.4339378238341969,1.240093827567123,3.5632183908045976,3.1377005347593583,0.1711229946524064,0.014
2014,Kansas State,Big 12,1,790,0.2545007654041826,0.4873417721518987,1.1584747779315352,4.02020202020202,2.5703601108033243,0.23545706371191136,0.018,776,0.1537215340292656,0.46005154639175255,1.162373485102231,3.436619718309859,2.942048517520216,0.19946091644204852,0.019
2014,Kent State,Mid-American,1,681,0.04976725839446163,0.3832599118942731,1.202419357319864,2.4,2.240485829959514,0.27530364372469635,0.037,778,0.157504523102607,0.4434447300771208,1.0813785893723724,3.539473684210526,3.015704387990762,0.15935334872979215,0.017
2014,Kentucky,SEC,1,779,0.10671913514334644,0.4017971758664955,1.2641312469580568,2.944444444444444,2.7005449591280652,0.22615803814713897,0.024,774,0.12694521682485657,0.4405684754521964,1.119441973147251,3.419753086419753,3.09002493765586,0.17955112219451372,0.027
2014,Louisiana,Sun Belt,1,817,0.20067218634903142,0.47123623011015914,1.0896716998608869,3.7954545454545454,3.6235033259423504,0.1419068736141907,0.026,819,0.17599734564295336,0.4139194139194139,1.293307258160142,3.240506329113924,2.3387012987012987,0.23636363636363636,0.015
