season_year,game_id,week,team,opponent,garbage_time_excluded,off_plays,off_ppa,off_success_rate,off_explosiveness,def_plays,def_ppa,def_success_rate,def_explosiveness
2016,400868876,1,Baylor,Northwestern State,1,41,0.5847809927218431,0.6585365853658537,1.0841000042124078,24,-0.39748783424685813,0.08333333333333333,0.6761343729412554
2016,400868876,1,Northwestern State,Baylor,1,24,-0.39748783424685813,0.08333333333333333,0.6761343729412554,41,0.5847809927218431,0.6585365853658537,1.0841000042124078
2016,400868877,2,Baylor,SMU,1,101,0.10786658894286112,0.45544554455445546,0.9105525841363237,78,-0.15507178704289257,0.358974358974359,1.051424856909247
2016,400868877,2,SMU,Baylor,1,78,-0.15507178704289257,0.358974358974359,1.051424856909247,101,0.10786658894286112,0.45544554455445546,0.9105525841363237
2016,400868878,4,Baylor,Oklahoma State,1,65,0.22640307596949497,0.4,1.7365267713421375,102,0.03399831646113195,0.45098039215686275,0.9111226386722219
2016,400868878,4,Oklahoma State,Baylor,1,102,0.03399831646113195,0.45098039215686275,0.9111226386722219,65,0.22640307596949497,0.4,1.7365267713421375
2016,400868879,5,Baylor,Iowa State,1,85,0.46732341023004964,0.5764705882352941,1.1619942481678531,77,0.42015832965572564,0.4935064935064935,1.3575939627788756
2016,400868879,5,Iowa State,Baylor,1,77,0.42015832965572564,0.4935064935064935,1.3575939627788756,85,0.46732341023004964,0.5764705882352941,1.1619942481678531
2016,400868880,7,Baylor,Kansas,1,44,0.40412675371191825,0.5,1.297592614338195,38,-0.611128015243596,0.2894736842105263,0.913869924529712
2016,400868880,7,Kansas,Baylor,1,38,-0.611128015243596,0.2894736842105263,0.913869924529712,44,0.40412675371191825,0.5,1.297592614338195
2016,400868881,9,Baylor,Texas,1,99,0.14383056725300417,0.48484848484848486,1.008775455958182,74,0.1362748160629215,0.47297297297297297,1.045768826342045
2016,400868881,9,Texas,Baylor,1,74,0.1362748160629215,0.47297297297297297,1.045768826342045,99,0.14383056725300417,0.48484848484848486,1.008775455958182
2016,400868882,10,Baylor,TCU,1,52,0.07265490007817531,0.34615384615384615,1.4642937502106381,60,0.49325112609931104,0.55,1.4234744516065778
2016,400868882,10,TCU,Baylor,1,60,0.49325112609931104,0.55,1.4234744516065778,52,0.07265490007817531,0.34615384615384615,1.4642937502106381
2016,400868883,11,Baylor,Oklahoma,1,91,0.09217123615242218,0.4175824175824176,1.3904216086538086,76,0.3871548765966938,0.5394736842105263,1.2481727345174918
2016,400868883,11,Oklahoma,Baylor,1,76,0.3871548765966938,0.5394736842105263,1.2481727345174918,91,0.09217123615242218,0.4175824175824176,1.3904216086538086
2016,400868884,12,Baylor,Kansas State,1,78,0.09282679298258159,0.3717948717948718,1.2775027201936138,75,0.21866343156178744,0.4666666666666667,1.2804448269286977
2016,400868884,12,Kansas State,Baylor,1,75,0.21866343156178744,0.4666666666666667,1.2804448269286977,78,0.09282679298258159,0.3717948717948718,1.2775027201936138
2016,400868885,13,Baylor,Texas Tech,1,98,-0.027860414018666287,0.5,0.9419687178069661,81,0.33858388779200516,0.41975308641975306,1.6165505182368953
2016,400868885,13,Texas Tech,Baylor,1,81,0.33858388779200516,0.41975308641975306,1.6165505182368953,98,-0.027860414018666287,0.5,0.9419687178069661
2016,400868886,14,Baylor,West Virginia,1,71,0.06252077530109099,0.43661971830985913,1.2931755942006475,89,0.08225664004576382,0.42696629213483145,0.971505049151185
2016,400868886,14,West Virginia,Baylor,1,89,0.08225664004576382,0.42696629213483145,0.971505049151185,71,0.06252077530109099,0.43661971830985913,1.2931755942006475
2016,400868887,1,Iowa State,Northern Iowa,1,53,-0.1384621058728682,0.33962264150943394,1.7015152307469714,86,0.02761644688834394,0.4186046511627907,0.9289625639732091
2016,400868887,1,Northern Iowa,Iowa State,1,86,0.02761644688834394,0.4186046511627907,0.9289625639732091,53,-0.1384621058728682,0.33962264150943394,1.7015152307469714
2016,400868888,2,Iowa,Iowa State,1,52,0.4704069503995748,0.5576923076923077,1.1902088911587803,42,-0.08516623029360999,0.35714285714285715,0.7616021533834609
