game_id,season_year,week,date,season_type,home_team,away_team,home_conference,away_conference,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
57196,1991,1,1991-08-28,regular,Penn State,Georgia Tech,FBS Independents,ACC,34,22,0,regular,regular,0,
57197,1991,1,1991-08-29,regular,Florida State,BYU,FBS Independents,Western Athletic,44,28,0,regular,regular,0,
57202,1991,1,1991-08-31,regular,Colorado State,Arkansas State,Western Athletic,FBS Independents,38,24,0,regular,regular,0,
57201,1991,1,1991-08-31,regular,Central Michigan,Ohio,Mid-American,Mid-American,17,17,0,regular,regular,0,
57213,1991,1,1991-08-31,regular,West Virginia,Pittsburgh,Big East,Big East,3,34,0,regular,regular,0,
57214,1991,1,1991-08-31,regular,Rutgers,Boston College,Big East,Big East,20,13,0,regular,regular,0,
57211,1991,1,1991-08-31,regular,Tulane,Ole Miss,FBS Independents,SEC,3,22,0,regular,regular,0,
57217,1991,1,1991-08-31,regular,UTEP,New Mexico,Western Athletic,Western Athletic,35,19,0,regular,regular,0,
57212,1991,1,1991-08-31,regular,Mississippi State,Cal State Fullerton,SEC,Big West,47,3,0,regular,regular,0,
57205,1991,1,1991-08-31,regular,Houston,Louisiana Tech,Southwest,FBS Independents,73,3,0,regular,regular,0,
57206,1991,1,1991-08-31,regular,Illinois,East Carolina,Big Ten,FBS Independents,38,31,0,regular,regular,0,
57219,1991,1,1991-08-31,regular,Utah,Utah State,Western Athletic,Big West,12,7,0,regular,regular,0,
57204,1991,1,1991-08-31,regular,Wyoming,Hawai'i,Western Athletic,Western Athletic,17,32,0,regular,regular,0,
57200,1991,1,1991-08-31,regular,Bowling Green,Eastern Michigan,Mid-American,Mid-American,17,6,0,regular,regular,0,
57221,1991,1,1991-08-31,regular,Western Michigan,Kent State,Mid-American,Mid-American,13,10,0,regular,regular,0,
57210,1991,1,1991-08-31,regular,Miami (OH),Ball State,Mid-American,Mid-American,15,7,0,regular,regular,0,
57209,1991,1,1991-08-31,regular,Arkansas,Miami,Southwest,Big East,3,31,0,regular,regular,0,
57222,1991,1,1991-09-02,regular,USC,Memphis,Pac-10,FBS Independents,10,24,0,regular,regular,0,
57223,1991,2,1991-09-05,regular,Louisville,Tennessee,FBS Independents,SEC,11,28,0,regular,regular,0,
57254,1991,2,1991-09-07,regular,Penn State,Cincinnati,FBS Independents,FBS Independents,81,0,0,regular,regular,0,
