game_id,season_year,week,date,season_type,home_team,away_team,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
59104,1994,1,1994-08-28,regular,Nebraska,West Virginia,31,0,0,regular,regular,0,
59105,1994,1,1994-08-29,regular,Ohio State,Fresno State,34,10,0,regular,regular,0,
59108,1994,2,1994-09-01,regular,NC State,Bowling Green,20,15,0,regular,regular,0,
59106,1994,2,1994-09-01,regular,Georgia Tech,Arizona,14,19,0,regular,regular,0,
59107,1994,2,1994-09-01,regular,Houston,Kansas,13,35,0,regular,regular,0,
59110,1994,2,1994-09-01,regular,Illinois,Washington State,9,10,0,regular,regular,0,
59109,1994,2,1994-09-01,regular,Northern Illinois,Oklahoma State,14,31,0,regular,regular,0,
59151,1994,2,1994-09-03,regular,UCLA,Tennessee,25,23,0,regular,regular,0,
59157,1994,2,1994-09-03,regular,Wyoming,UTEP,36,13,0,regular,regular,0,
59148,1994,2,1994-09-03,regular,Texas Tech,New Mexico,37,31,0,regular,regular,0,
59113,1994,2,1994-09-03,regular,Arkansas,SMU,34,14,0,regular,regular,0,
59134,1994,2,1994-09-03,regular,North Carolina,TCU,27,17,0,regular,regular,0,
59143,1994,2,1994-09-03,regular,USC,Washington,24,17,0,regular,regular,0,
59118,1994,2,1994-09-03,regular,Colorado,UL Monroe,48,13,0,regular,regular,0,
59122,1994,2,1994-09-03,regular,Florida State,Virginia,41,17,0,regular,regular,0,
59121,1994,2,1994-09-03,regular,Florida,New Mexico State,70,21,0,regular,regular,0,
59116,1994,2,1994-09-03,regular,Hawai'i,BYU,12,13,0,regular,regular,0,
59136,1994,2,1994-09-03,regular,Northwestern,Notre Dame,15,42,0,regular,regular,0,
59119,1994,2,1994-09-03,regular,Air Force,Colorado State,21,34,0,regular,regular,0,
59147,1994,2,1994-09-03,regular,LSU,Texas A&M,13,18,0,regular,regular,0,
59152,1994,2,1994-09-03,regular,Utah State,Utah,17,32,0,regular,regular,0,
59112,1994,2,1994-09-03,regular,Arizona State,Oregon State,22,16,0,regular,regular,0,
59115,1994,2,1994-09-03,regular,Baylor,Louisiana Tech,44,3,0,regular,regular,0,
59131,1994,2,1994-09-03,regular,Memphis,Mississippi State,6,17,0,regular,regular,0,
59114,1994,2,1994-09-03,regular,Ole Miss,Auburn,17,22,0,regular,regular,0,
59120,1994,2,1994-09-03,regular,Duke,Maryland,49,16,0,regular,regular,0,
59156,1994,2,1994-09-03,regular,Miami (OH),Western Michigan,25,28,0,regular,regular,0,
59137,1994,2,1994-09-03,regular,Syracuse,Oklahoma,29,30,0,regular,regular,0,
59142,1994,2,1994-09-03,regular,San Diego State,Navy,56,14,0,regular,regular,0,
59133,1994,2,1994-09-03,regular,UNLV,Eastern Michigan,17,3,0,regular,regular,0,
59141,1994,2,1994-09-03,regular,Rutgers,Kent State,28,6,0,regular,regular,0,
59154,1994,2,1994-09-03,regular,Virginia Tech,Arkansas State,34,7,0,regular,regular,0,
59140,1994,2,1994-09-03,regular,Minnesota,Penn State,3,56,0,regular,regular,0,
59124,1994,2,1994-09-03,regular,South Carolina,Georgia,21,24,0,regular,regular,0,
59145,1994,2,1994-09-03,regular,Akron,Temple,7,32,0,regular,regular,0,
59125,1994,2,1994-09-03,regular,Indiana,Cincinnati,28,3,0,regular,regular,0,
59128,1994,2,1994-09-03,regular,Kentucky,Louisville,20,14,0,regular,regular,0,
59123,1994,2,1994-09-03,regular,Fresno State,San José State,45,13,0,regular,regular,0,
59155,1994,2,1994-09-03,regular,West Virginia,Ball State,16,14,0,regular,regular,0,
59153,1994,2,1994-09-03,regular,Vanderbilt,Wake Forest,35,14,0,regular,regular,0,
59127,1994,2,1994-09-03,regular,Kansas State,Louisiana,34,6,0,regular,regular,0,
59126,1994,2,1994-09-03,regular,Iowa,Central Michigan,52,21,0,regular,regular,0,
59146,1994,2,1994-09-03,regular,Pittsburgh,Texas,28,30,0,regular,regular,0,
59150,1994,2,1994-09-03,regular,Missouri,Tulsa,17,20,0,regular,regular,0,
59144,1994,2,1994-09-03,regular,Tulane,Southern Miss,10,25,0,regular,regular,0,
59130,1994,2,1994-09-03,regular,Michigan,Boston College,34,26,0,regular,regular,0,
59158,1994,3,1994-09-08,regular,Texas Tech,Nebraska,16,42,0,regular,regular,0,
59171,1994,3,1994-09-10,regular,Maryland,Florida State,20,52,0,regular,regular,0,
59200,1994,3,1994-09-10,regular,New Mexico,TCU,29,44,0,regular,regular,0,
59179,1994,3,1994-09-10,regular,LSU,Mississippi State,44,24,0,regular,regular,0,
59170,1994,3,1994-09-10,regular,Florida,Kentucky,73,7,0,regular,regular,0,
59163,1994,3,1994-09-10,regular,Auburn,UL Monroe,44,12,0,regular,regular,0,
59177,1994,3,1994-09-10,regular,Kansas,Michigan State,17,10,0,regular,regular,0,
59199,1994,3,1994-09-10,regular,Texas A&M,Oklahoma,36,14,0,regular,regular,0,
59197,1994,3,1994-09-10,regular,Georgia,Tennessee,23,41,0,regular,regular,0,
59191,1994,3,1994-09-10,regular,Purdue,Toledo,51,17,0,regular,regular,0,
59189,1994,3,1994-09-10,regular,Penn State,USC,38,14,0,regular,regular,0,
59203,1994,3,1994-09-10,regular,UCLA,SMU,17,10,0,regular,regular,0,
59176,1994,3,1994-09-10,regular,Iowa,Iowa State,37,9,0,regular,regular,0,
59173,1994,3,1994-09-10,regular,Hawai'i,Oregon,36,16,0,regular,regular,0,
59194,1994,3,1994-09-10,regular,South Carolina,Arkansas,14,0,0,regular,regular,0,
59195,1994,3,1994-09-10,regular,Stanford,Northwestern,41,41,0,regular,regular,0,
59168,1994,3,1994-09-10,regular,Colorado State,Utah State,41,16,0,regular,regular,0,
59188,1994,3,1994-09-10,regular,Oregon State,Wyoming,44,31,0,regular,regular,0,
59187,1994,3,1994-09-10,regular,Clemson,NC State,12,29,0,regular,regular,0,
59167,1994,3,1994-09-10,regular,Central Michigan,UNLV,35,23,0,regular,regular,0,
59180,1994,3,1994-09-10,regular,Louisiana Tech,Houston,32,7,0,regular,regular,0,
59164,1994,3,1994-09-10,regular,San José State,Baylor,20,54,0,regular,regular,0,
59183,1994,3,1994-09-10,regular,Notre Dame,Michigan,24,26,0,regular,regular,0,
59166,1994,3,1994-09-10,regular,Air Force,BYU,21,45,0,regular,regular,0,
59193,1994,3,1994-09-10,regular,San Diego State,California,22,20,0,regular,regular,0,
59161,1994,3,1994-09-10,regular,Arizona,New Mexico State,44,0,0,regular,regular,0,
59174,1994,3,1994-09-10,regular,Illinois,Missouri,42,0,0,regular,regular,0,
59160,1994,3,1994-09-10,regular,Alabama,Vanderbilt,17,7,0,regular,regular,0,
59178,1994,3,1994-09-10,regular,Louisiana,Northern Illinois,29,9,0,regular,regular,0,
59186,1994,3,1994-09-10,regular,Nevada,Arkansas State,18,0,0,regular,regular,0,
59190,1994,3,1994-09-10,regular,Pittsburgh,Ohio,30,16,0,regular,regular,0,
59198,1994,3,1994-09-10,regular,Texas,Louisville,30,16,0,regular,regular,0,
59196,1994,3,1994-09-10,regular,Cincinnati,Syracuse,19,34,0,regular,regular,0,
