game_id,season_year,week,date,season_type,home_team,away_team,home_conference,away_conference,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
51967,1983,1,1983-08-29,regular,Nebraska,Penn State,Big 8,FBS Independents,44,6,0,regular,regular,0,
51968,1983,2,1983-09-01,regular,Rice,Houston,Southwest,Southwest,14,45,0,regular,regular,0,
51969,1983,2,1983-09-02,regular,Temple,Syracuse,FBS Independents,FBS Independents,17,6,0,regular,regular,0,
51992,1983,2,1983-09-03,regular,South Carolina,North Carolina,FBS Independents,ACC,8,24,0,regular,regular,0,
51997,1983,2,1983-09-03,regular,Tennessee,Pittsburgh,SEC,FBS Independents,3,13,0,regular,regular,0,
52001,1983,2,1983-09-03,regular,UTEP,New Mexico State,Western Athletic,Missouri Valley,20,9,0,regular,regular,0,
51981,1983,2,1983-09-03,regular,Florida,Miami,SEC,FBS Independents,28,3,0,regular,regular,0,
51982,1983,2,1983-09-03,regular,Florida State,East Carolina,FBS Independents,FBS Independents,47,46,0,regular,regular,0,
51987,1983,2,1983-09-03,regular,Memphis,Ole Miss,FBS Independents,SEC,37,17,0,regular,regular,0,
52003,1983,2,1983-09-03,regular,Virginia,Duke,ACC,ACC,38,30,0,regular,regular,0,
52005,1983,2,1983-09-03,regular,West Virginia,Ohio,FBS Independents,Mid-American,55,3,0,regular,regular,0,
51988,1983,2,1983-09-03,regular,Mississippi State,Tulane,SEC,FBS Independents,14,9,0,regular,regular,0,
51991,1983,2,1983-09-03,regular,New Mexico,Utah,Western Athletic,Western Athletic,17,7,0,regular,regular,0,
51973,1983,2,1983-09-03,regular,Arizona,Oregon State,Pac-10,Pac-10,50,6,0,regular,regular,0,
51994,1983,2,1983-09-03,regular,Kansas,Northern Illinois,Big 8,Mid-American,34,37,0,regular,regular,0,
52002,1983,2,1983-09-03,regular,Tulsa,San Diego State,Missouri Valley,Western Athletic,34,9,0,regular,regular,0,
51986,1983,2,1983-09-03,regular,Kansas State,Long Beach State,Big 8,PCAA,20,28,0,regular,regular,0,
51985,1983,2,1983-09-03,regular,Kentucky,Central Michigan,SEC,Mid-American,31,14,0,regular,regular,0,
51977,1983,2,1983-09-03,regular,Texas A&M,California,Southwest,Pac-10,17,19,0,regular,regular,0,
51996,1983,2,1983-09-03,regular,Oregon,Pacific,Pac-10,PCAA,15,21,0,regular,regular,0,
