game_id,season_year,kickoff_utc,start_time_tbd
55918,1989,1989-08-31T00:00:00.000Z,0
55919,1989,1989-09-02T00:00:00.000Z,0
55920,1989,1989-09-02T00:00:00.000Z,0
55921,1989,1989-09-02T00:00:00.000Z,0
55922,1989,1989-09-02T00:00:00.000Z,0
55923,1989,1989-09-02T00:00:00.000Z,0
55924,1989,1989-09-02T00:00:00.000Z,0
55925,1989,1989-09-02T00:00:00.000Z,0
55926,1989,1989-09-02T00:00:00.000Z,0
55927,1989,1989-09-02T00:00:00.000Z,0
55928,1989,1989-09-02T00:00:00.000Z,0
55929,1989,1989-09-02T00:00:00.000Z,0
55930,1989,1989-09-02T00:00:00.000Z,0
55931,1989,1989-09-02T00:00:00.000Z,0
55932,1989,1989-09-02T00:00:00.000Z,0
55933,1989,1989-09-02T00:00:00.000Z,0
55934,1989,1989-09-02T00:00:00.000Z,0
55935,1989,1989-09-02T00:00:00.000Z,0
55936,1989,1989-09-02T00:00:00.000Z,0
55937,1989,1989-09-02T00:00:00.000Z,0
55938,1989,1989-09-02T00:00:00.000Z,0
55939,1989,1989-09-02T00:00:00.000Z,0
55940,1989,1989-09-02T00:00:00.000Z,0
55941,1989,1989-09-02T00:00:00.000Z,0
55942,1989,1989-09-02T00:00:00.000Z,0
55943,1989,1989-09-02T00:00:00.000Z,0
55944,1989,1989-09-02T00:00:00.000Z,0
55945,1989,1989-09-02T00:00:00.000Z,0
55946,1989,1989-09-02T00:00:00.000Z,0
55947,1989,1989-09-02T00:00:00.000Z,0
55948,1989,1989-09-02T00:00:00.000Z,0
55949,1989,1989-09-04T00:00:00.000Z,0
55950,1989,1989-09-04T00:00:00.000Z,0
55951,1989,1989-09-07T00:00:00.000Z,0
55952,1989,1989-09-09T00:00:00.000Z,0
55953,1989,1989-09-09T00:00:00.000Z,0
55954,1989,1989-09-09T00:00:00.000Z,0
55955,1989,1989-09-09T00:00:00.000Z,0
55956,1989,1989-09-09T00:00:00.000Z,0
55957,1989,1989-09-09T00:00:00.000Z,0
55958,1989,1989-09-09T00:00:00.000Z,0
55959,1989,1989-09-09T00:00:00.000Z,0
55960,1989,1989-09-09T00:00:00.000Z,0
55961,1989,1989-09-09T00:00:00.000Z,0
55962,1989,1989-09-09T00:00:00.000Z,0
55963,1989,1989-09-09T00:00:00.000Z,0
55964,1989,1989-09-09T00:00:00.000Z,0
55965,1989,1989-09-09T00:00:00.000Z,0
55966,1989,1989-09-09T00:00:00.000Z,0
55967,1989,1989-09-09T00:00:00.000Z,0
55968,1989,1989-09-09T00:00:00.000Z,0
55969,1989,1989-09-09T00:00:00.000Z,0
55970,1989,1989-09-09T00:00:00.000Z,0
55971,1989,1989-09-09T00:00:00.000Z,0
55972,1989,1989-09-09T00:00:00.000Z,0
55973,1989,1989-09-09T00:00:00.000Z,0
55974,1989,1989-09-09T00:00:00.000Z,0
55975,1989,1989-09-09T00:00:00.000Z,0
55976,1989,1989-09-09T00:00:00.000Z,0
55977,1989,1989-09-09T00:00:00.000Z,0
55978,1989,1989-09-09T00:00:00.000Z,0
55979,1989,1989-09-09T00:00:00.000Z,0
55980,1989,1989-09-09T00:00:00.000Z,0
55981,1989,1989-09-09T00:00:00.000Z,0
55982,1989,1989-09-09T00:00:00.000Z,0
55983,1989,1989-09-09T00:00:00.000Z,0
55984,1989,1989-09-09T00:00:00.000Z,0
55985,1989,1989-09-09T00:00:00.000Z,0
55986,1989,1989-09-09T00:00:00.000Z,0
55987,1989,1989-09-09T00:00:00.000Z,0
55988,1989,1989-09-09T00:00:00.000Z,0
55989,1989,1989-09-09T00:00:00.000Z,0
55990,1989,1989-09-09T00:00:00.000Z,0
55991,1989,1989-09-09T00:00:00.000Z,0
55992,1989,1989-09-09T00:00:00.000Z,0
55993,1989,1989-09-09T00:00:00.000Z,0
55994,1989,1989-09-09T00:00:00.000Z,0
55995,1989,1989-09-09T00:00:00.000Z,0
55996,1989,1989-09-10T00:00:00.000Z,0
55997,1989,1989-09-16T00:00:00.000Z,0
55998,1989,1989-09-16T00:00:00.000Z,0
55999,1989,1989-09-16T00:00:00.000Z,0
56000,1989,1989-09-16T00:00:00.000Z,0
56001,1989,1989-09-16T00:00:00.000Z,0
56002,1989,1989-09-16T00:00:00.000Z,0
56003,1989,1989-09-16T00:00:00.000Z,0
56004,1989,1989-09-16T00:00:00.000Z,0
56005,1989,1989-09-16T00:00:00.000Z,0
56006,1989,1989-09-16T00:00:00.000Z,0
56007,1989,1989-09-16T00:00:00.000Z,0
56008,1989,1989-09-16T00:00:00.000Z,0
56009,1989,1989-09-16T00:00:00.000Z,0
56010,1989,1989-09-16T00:00:00.000Z,0
56011,1989,1989-09-16T00:00:00.000Z,0
56012,1989,1989-09-16T00:00:00.000Z,0
56013,1989,1989-09-16T00:00:00.000Z,0
56014,1989,1989-09-16T00:00:00.000Z,0
56015,1989,1989-09-16T00:00:00.000Z,0
56016,1989,1989-09-16T00:00:00.000Z,0
56017,1989,1989-09-16T00:00:00.000Z,0
56018,1989,1989-09-16T00:00:00.000Z,0
56019,1989,1989-09-16T00:00:00.000Z,0
56020,1989,1989-09-16T00:00:00.000Z,0
56021,1989,1989-09-16T00:00:00.000Z,0
56022,1989,1989-09-16T00:00:00.000Z,0
56023,1989,1989-09-16T00:00:00.000Z,0
56024,1989,1989-09-16T00:00:00.000Z,0
56025,1989,1989-09-16T00:00:00.000Z,0
56026,1989,1989-09-16T00:00:00.000Z,0
56027,1989,1989-09-16T00:00:00.000Z,0
56028,1989,1989-09-16T00:00:00.000Z,0
56029,1989,1989-09-16T00:00:00.000Z,0
56030,1989,1989-09-16T00:00:00.000Z,0
56031,1989,1989-09-16T00:00:00.000Z,0
56032,1989,1989-09-16T00:00:00.000Z,0
56033,1989,1989-09-16T00:00:00.000Z,0
56034,1989,1989-09-16T00:00:00.000Z,0
56035,1989,1989-09-16T00:00:00.000Z,0
56036,1989,1989-09-16T00:00:00.000Z,0
56037,1989,1989-09-16T00:00:00.000Z,0
56038,1989,1989-09-16T00:00:00.000Z,0
56039,1989,1989-09-16T00:00:00.000Z,0
56040,1989,1989-09-16T00:00:00.000Z,0
56041,1989,1989-09-16T00:00:00.000Z,0
56042,1989,1989-09-16T00:00:00.000Z,0
56043,1989,1989-09-16T00:00:00.000Z,0
56044,1989,1989-09-16T00:00:00.000Z,0
56045,1989,1989-09-16T00:00:00.000Z,0
56046,1989,1989-09-16T00:00:00.000Z,0
56047,1989,1989-09-23T00:00:00.000Z,0
56048,1989,1989-09-23T00:00:00.000Z,0
56049,1989,1989-09-23T00:00:00.000Z,0
56050,1989,1989-09-23T00:00:00.000Z,0
56051,1989,1989-09-23T00:00:00.000Z,0
56052,1989,1989-09-23T00:00:00.000Z,0
56053,1989,1989-09-23T00:00:00.000Z,0
56054,1989,1989-09-23T00:00:00.000Z,0
56055,1989,1989-09-23T00:00:00.000Z,0
56056,1989,1989-09-23T00:00:00.000Z,0
56057,1989,1989-09-23T00:00:00.000Z,0
56058,1989,1989-09-23T00:00:00.000Z,0
56059,1989,1989-09-23T00:00:00.000Z,0
56060,1989,1989-09-23T00:00:00.000Z,0
56061,1989,1989-09-23T00:00:00.000Z,0
56062,1989,1989-09-23T00:00:00.000Z,0
56063,1989,1989-09-23T00:00:00.000Z,0
56064,1989,1989-09-23T00:00:00.000Z,0
56065,1989,1989-09-23T00:00:00.000Z,0
56066,1989,1989-09-23T00:00:00.000Z,0
56067,1989,1989-09-23T00:00:00.000Z,0
56068,1989,1989-09-23T00:00:00.000Z,0
56069,1989,1989-09-23T00:00:00.000Z,0
56070,1989,1989-09-23T00:00:00.000Z,0
56071,1989,1989-09-23T00:00:00.000Z,0
56072,1989,1989-09-23T00:00:00.000Z,0
56073,1989,1989-09-23T00:00:00.000Z,0
56074,1989,1989-09-23T00:00:00.000Z,0
56075,1989,1989-09-23T00:00:00.000Z,0
56076,1989,1989-09-23T00:00:00.000Z,0
56077,1989,1989-09-23T00:00:00.000Z,0
56078,1989,1989-09-23T00:00:00.000Z,0
56079,1989,1989-09-23T00:00:00.000Z,0
56080,1989,1989-09-23T00:00:00.000Z,0
56081,1989,1989-09-23T00:00:00.000Z,0
56082,1989,1989-09-23T00:00:00.000Z,0
56083,1989,1989-09-23T00:00:00.000Z,0
56084,1989,1989-09-23T00:00:00.000Z,0
56085,1989,1989-09-23T00:00:00.000Z,0
56086,1989,1989-09-23T00:00:00.000Z,0
56087,1989,1989-09-23T00:00:00.000Z,0
56088,1989,1989-09-23T00:00:00.000Z,0
56089,1989,1989-09-23T00:00:00.000Z,0
56090,1989,1989-09-23T00:00:00.000Z,0
56091,1989,1989-09-23T00:00:00.000Z,0
56092,1989,1989-09-23T00:00:00.000Z,0
56093,1989,1989-09-23T00:00:00.000Z,0
56094,1989,1989-09-23T00:00:00.000Z,0
56095,1989,1989-09-23T00:00:00.000Z,0
56096,1989,1989-09-23T00:00:00.000Z,0
56097,1989,1989-09-30T00:00:00.000Z,0
56098,1989,1989-09-30T00:00:00.000Z,0
56099,1989,1989-09-30T00:00:00.000Z,0
56100,1989,1989-09-30T00:00:00.000Z,0
56101,1989,1989-09-30T00:00:00.000Z,0
56102,1989,1989-09-30T00:00:00.000Z,0
56103,1989,1989-09-30T00:00:00.000Z,0
56104,1989,1989-09-30T00:00:00.000Z,0
56105,1989,1989-09-30T00:00:00.000Z,0
56106,1989,1989-09-30T00:00:00.000Z,0
56107,1989,1989-09-30T00:00:00.000Z,0
56108,1989,1989-09-30T00:00:00.000Z,0
56109,1989,1989-09-30T00:00:00.000Z,0
56110,1989,1989-09-30T00:00:00.000Z,0
56111,1989,1989-09-30T00:00:00.000Z,0
56112,1989,1989-09-30T00:00:00.000Z,0
56113,1989,1989-09-30T00:00:00.000Z,0
56114,1989,1989-09-30T00:00:00.000Z,0
56115,1989,1989-09-30T00:00:00.000Z,0
56116,1989,1989-09-30T00:00:00.000Z,0
56117,1989,1989-09-30T00:00:00.000Z,0
56118,1989,1989-09-30T00:00:00.000Z,0
56119,1989,1989-09-30T00:00:00.000Z,0
56120,1989,1989-09-30T00:00:00.000Z,0
56121,1989,1989-09-30T00:00:00.000Z,0
56122,1989,1989-09-30T00:00:00.000Z,0
56123,1989,1989-09-30T00:00:00.000Z,0
56124,1989,1989-09-30T00:00:00.000Z,0
56125,1989,1989-09-30T00:00:00.000Z,0
56126,1989,1989-09-30T00:00:00.000Z,0
56127,1989,1989-09-30T00:00:00.000Z,0
56128,1989,1989-09-30T00:00:00.000Z,0
56129,1989,1989-09-30T00:00:00.000Z,0
56130,1989,1989-09-30T00:00:00.000Z,0
56131,1989,1989-09-30T00:00:00.000Z,0
56132,1989,1989-09-30T00:00:00.000Z,0
56133,1989,1989-09-30T00:00:00.000Z,0
56134,1989,1989-09-30T00:00:00.000Z,0
56135,1989,1989-09-30T00:00:00.000Z,0
56136,1989,1989-09-30T00:00:00.000Z,0
56137,1989,1989-09-30T00:00:00.000Z,0
56138,1989,1989-09-30T00:00:00.000Z,0
56139,1989,1989-09-30T00:00:00.000Z,0
56140,1989,1989-09-30T00:00:00.000Z,0
56141,1989,1989-09-30T00:00:00.000Z,0
56142,1989,1989-09-30T00:00:00.000Z,0
56143,1989,1989-09-30T00:00:00.000Z,0
56144,1989,1989-09-30T00:00:00.000Z,0
56145,1989,1989-09-30T00:00:00.000Z,0
56146,1989,1989-10-07T00:00:00.000Z,0
56147,1989,1989-10-07T00:00:00.000Z,0
56148,1989,1989-10-07T00:00:00.000Z,0
56149,1989,1989-10-07T00:00:00.000Z,0
56150,1989,1989-10-07T00:00:00.000Z,0
56151,1989,1989-10-07T00:00:00.000Z,0
56152,1989,1989-10-07T00:00:00.000Z,0
56153,1989,1989-10-07T00:00:00.000Z,0
56154,1989,1989-10-07T00:00:00.000Z,0
56155,1989,1989-10-07T00:00:00.000Z,0
56156,1989,1989-10-07T00:00:00.000Z,0
56157,1989,1989-10-07T00:00:00.000Z,0
56158,1989,1989-10-07T00:00:00.000Z,0
56159,1989,1989-10-07T00:00:00.000Z,0
56160,1989,1989-10-07T00:00:00.000Z,0
56161,1989,1989-10-07T00:00:00.000Z,0
56162,1989,1989-10-07T00:00:00.000Z,0
56163,1989,1989-10-07T00:00:00.000Z,0
56164,1989,1989-10-07T00:00:00.000Z,0
56165,1989,1989-10-07T00:00:00.000Z,0
56166,1989,1989-10-07T00:00:00.000Z,0
56167,1989,1989-10-07T00:00:00.000Z,0
56168,1989,1989-10-07T00:00:00.000Z,0
56169,1989,1989-10-07T00:00:00.000Z,0
56170,1989,1989-10-07T00:00:00.000Z,0
56171,1989,1989-10-07T00:00:00.000Z,0
56172,1989,1989-10-07T00:00:00.000Z,0
56173,1989,1989-10-07T00:00:00.000Z,0
56174,1989,1989-10-07T00:00:00.000Z,0
56175,1989,1989-10-07T00:00:00.000Z,0
56176,1989,1989-10-07T00:00:00.000Z,0
56177,1989,1989-10-07T00:00:00.000Z,0
56178,1989,1989-10-07T00:00:00.000Z,0
56179,1989,1989-10-07T00:00:00.000Z,0
56180,1989,1989-10-07T00:00:00.000Z,0
56181,1989,1989-10-07T00:00:00.000Z,0
56182,1989,1989-10-07T00:00:00.000Z,0
56183,1989,1989-10-07T00:00:00.000Z,0
56184,1989,1989-10-07T00:00:00.000Z,0
56185,1989,1989-10-07T00:00:00.000Z,0
56186,1989,1989-10-07T00:00:00.000Z,0
56187,1989,1989-10-07T00:00:00.000Z,0
56188,1989,1989-10-07T00:00:00.000Z,0
56189,1989,1989-10-07T00:00:00.000Z,0
56190,1989,1989-10-07T00:00:00.000Z,0
56191,1989,1989-10-07T00:00:00.000Z,0
56192,1989,1989-10-07T00:00:00.000Z,0
56193,1989,1989-10-07T00:00:00.000Z,0
56194,1989,1989-10-07T00:00:00.000Z,0
56195,1989,1989-10-07T00:00:00.000Z,0
56196,1989,1989-10-07T00:00:00.000Z,0
56197,1989,1989-10-07T00:00:00.000Z,0
56198,1989,1989-10-14T00:00:00.000Z,0
56199,1989,1989-10-14T00:00:00.000Z,0
56200,1989,1989-10-14T00:00:00.000Z,0
56201,1989,1989-10-14T00:00:00.000Z,0
56202,1989,1989-10-14T00:00:00.000Z,0
56203,1989,1989-10-14T00:00:00.000Z,0
56204,1989,1989-10-14T00:00:00.000Z,0
56205,1989,1989-10-14T00:00:00.000Z,0
56206,1989,1989-10-14T00:00:00.000Z,0
56207,1989,1989-10-14T00:00:00.000Z,0
56208,1989,1989-10-14T00:00:00.000Z,0
56209,1989,1989-10-14T00:00:00.000Z,0
56210,1989,1989-10-14T00:00:00.000Z,0
56211,1989,1989-10-14T00:00:00.000Z,0
56212,1989,1989-10-14T00:00:00.000Z,0
56213,1989,1989-10-14T00:00:00.000Z,0
56214,1989,1989-10-14T00:00:00.000Z,0
56215,1989,1989-10-14T00:00:00.000Z,0
56216,1989,1989-10-14T00:00:00.000Z,0
56217,1989,1989-10-14T00:00:00.000Z,0
56218,1989,1989-10-14T00:00:00.000Z,0
56219,1989,1989-10-14T00:00:00.000Z,0
56220,1989,1989-10-14T00:00:00.000Z,0
56221,1989,1989-10-14T00:00:00.000Z,0
56222,1989,1989-10-14T00:00:00.000Z,0
56223,1989,1989-10-14T00:00:00.000Z,0
56224,1989,1989-10-14T00:00:00.000Z,0
56225,1989,1989-10-14T00:00:00.000Z,0
56226,1989,1989-10-14T00:00:00.000Z,0
56227,1989,1989-10-14T00:00:00.000Z,0
56228,1989,1989-10-14T00:00:00.000Z,0
56229,1989,1989-10-14T00:00:00.000Z,0
56230,1989,1989-10-14T00:00:00.000Z,0
56231,1989,1989-10-14T00:00:00.000Z,0
56232,1989,1989-10-14T00:00:00.000Z,0
56233,1989,1989-10-14T00:00:00.000Z,0
56234,1989,1989-10-14T00:00:00.000Z,0
56235,1989,1989-10-14T00:00:00.000Z,0
56236,1989,1989-10-14T00:00:00.000Z,0
56237,1989,1989-10-14T00:00:00.000Z,0
56238,1989,1989-10-14T00:00:00.000Z,0
56239,1989,1989-10-14T00:00:00.000Z,0
56240,1989,1989-10-14T00:00:00.000Z,0
56241,1989,1989-10-14T00:00:00.000Z,0
56242,1989,1989-10-14T00:00:00.000Z,0
56243,1989,1989-10-14T00:00:00.000Z,0
56244,1989,1989-10-14T00:00:00.000Z,0
56245,1989,1989-10-14T00:00:00.000Z,0
56246,1989,1989-10-14T00:00:00.000Z,0
56247,1989,1989-10-21T00:00:00.000Z,0
56248,1989,1989-10-21T00:00:00.000Z,0
56249,1989,1989-10-21T00:00:00.000Z,0
56250,1989,1989-10-21T00:00:00.000Z,0
56251,1989,1989-10-21T00:00:00.000Z,0
56252,1989,1989-10-21T00:00:00.000Z,0
56253,1989,1989-10-21T00:00:00.000Z,0
56254,1989,1989-10-21T00:00:00.000Z,0
56255,1989,1989-10-21T00:00:00.000Z,0
56256,1989,1989-10-21T00:00:00.000Z,0
56257,1989,1989-10-21T00:00:00.000Z,0
56258,1989,1989-10-21T00:00:00.000Z,0
56259,1989,1989-10-21T00:00:00.000Z,0
56260,1989,1989-10-21T00:00:00.000Z,0
56261,1989,1989-10-21T00:00:00.000Z,0
56262,1989,1989-10-21T00:00:00.000Z,0
56263,1989,1989-10-21T00:00:00.000Z,0
56264,1989,1989-10-21T00:00:00.000Z,0
56265,1989,1989-10-21T00:00:00.000Z,0
56266,1989,1989-10-21T00:00:00.000Z,0
56267,1989,1989-10-21T00:00:00.000Z,0
56268,1989,1989-10-21T00:00:00.000Z,0
56269,1989,1989-10-21T00:00:00.000Z,0
56270,1989,1989-10-21T00:00:00.000Z,0
56271,1989,1989-10-21T00:00:00.000Z,0
56272,1989,1989-10-21T00:00:00.000Z,0
56273,1989,1989-10-21T00:00:00.000Z,0
56274,1989,1989-10-21T00:00:00.000Z,0
56275,1989,1989-10-21T00:00:00.000Z,0
56276,1989,1989-10-21T00:00:00.000Z,0
56277,1989,1989-10-21T00:00:00.000Z,0
56278,1989,1989-10-21T00:00:00.000Z,0
56279,1989,1989-10-21T00:00:00.000Z,0
56280,1989,1989-10-21T00:00:00.000Z,0
56281,1989,1989-10-21T00:00:00.000Z,0
56282,1989,1989-10-21T00:00:00.000Z,0
56283,1989,1989-10-21T00:00:00.000Z,0
56284,1989,1989-10-21T00:00:00.000Z,0
56285,1989,1989-10-21T00:00:00.000Z,0
56286,1989,1989-10-21T00:00:00.000Z,0
56287,1989,1989-10-21T00:00:00.000Z,0
56288,1989,1989-10-21T00:00:00.000Z,0
56289,1989,1989-10-21T00:00:00.000Z,0
56290,1989,1989-10-21T00:00:00.000Z,0
56291,1989,1989-10-21T00:00:00.000Z,0
56292,1989,1989-10-21T00:00:00.000Z,0
56293,1989,1989-10-21T00:00:00.000Z,0
56294,1989,1989-10-21T00:00:00.000Z,0
56295,1989,1989-10-21T00:00:00.000Z,0
56296,1989,1989-10-21T00:00:00.000Z,0
56297,1989,1989-10-21T00:00:00.000Z,0
56298,1989,1989-10-21T00:00:00.000Z,0
56299,1989,1989-10-21T00:00:00.000Z,0
56300,1989,1989-10-26T00:00:00.000Z,0
56301,1989,1989-10-28T00:00:00.000Z,0
56302,1989,1989-10-28T00:00:00.000Z,0
56303,1989,1989-10-28T00:00:00.000Z,0
56304,1989,1989-10-28T00:00:00.000Z,0
56305,1989,1989-10-28T00:00:00.000Z,0
56306,1989,1989-10-28T00:00:00.000Z,0
56307,1989,1989-10-28T00:00:00.000Z,0
56308,1989,1989-10-28T00:00:00.000Z,0
56309,1989,1989-10-28T00:00:00.000Z,0
56310,1989,1989-10-28T00:00:00.000Z,0
56311,1989,1989-10-28T00:00:00.000Z,0
56312,1989,1989-10-28T00:00:00.000Z,0
56313,1989,1989-10-28T00:00:00.000Z,0
56314,1989,1989-10-28T00:00:00.000Z,0
56315,1989,1989-10-28T00:00:00.000Z,0
56316,1989,1989-10-28T00:00:00.000Z,0
56317,1989,1989-10-28T00:00:00.000Z,0
56318,1989,1989-10-28T00:00:00.000Z,0
56319,1989,1989-10-28T00:00:00.000Z,0
56320,1989,1989-10-28T00:00:00.000Z,0
56321,1989,1989-10-28T00:00:00.000Z,0
56322,1989,1989-10-28T00:00:00.000Z,0
56323,1989,1989-10-28T00:00:00.000Z,0
56324,1989,1989-10-28T00:00:00.000Z,0
56325,1989,1989-10-28T00:00:00.000Z,0
56326,1989,1989-10-28T00:00:00.000Z,0
56327,1989,1989-10-28T00:00:00.000Z,0
56328,1989,1989-10-28T00:00:00.000Z,0
56329,1989,1989-10-28T00:00:00.000Z,0
56330,1989,1989-10-28T00:00:00.000Z,0
56331,1989,1989-10-28T00:00:00.000Z,0
56332,1989,1989-10-28T00:00:00.000Z,0
56333,1989,1989-10-28T00:00:00.000Z,0
56334,1989,1989-10-28T00:00:00.000Z,0
56335,1989,1989-10-28T00:00:00.000Z,0
56336,1989,1989-10-28T00:00:00.000Z,0
56337,1989,1989-10-28T00:00:00.000Z,0
56338,1989,1989-10-28T00:00:00.000Z,0
56339,1989,1989-10-28T00:00:00.000Z,0
56340,1989,1989-10-28T00:00:00.000Z,0
56341,1989,1989-10-28T00:00:00.000Z,0
56342,1989,1989-10-28T00:00:00.000Z,0
56343,1989,1989-10-28T00:00:00.000Z,0
56344,1989,1989-10-28T00:00:00.000Z,0
56345,1989,1989-10-28T00:00:00.000Z,0
56346,1989,1989-10-28T00:00:00.000Z,0
56347,1989,1989-10-28T00:00:00.000Z,0
56348,1989,1989-10-28T00:00:00.000Z,0
56349,1989,1989-10-28T00:00:00.000Z,0
56350,1989,1989-10-28T00:00:00.000Z,0
56351,1989,1989-11-04T00:00:00.000Z,0
56352,1989,1989-11-04T00:00:00.000Z,0
56353,1989,1989-11-04T00:00:00.000Z,0
