game_id,season_year,week,date,season_type,home_team,away_team,home_conference,away_conference,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
61042,1997,1,1997-08-23,regular,Northwestern,Oklahoma,Big Ten,Big 12,24,0,0,regular,regular,0,
61043,1997,1,1997-08-24,regular,Syracuse,Wisconsin,Big East,Big Ten,34,0,0,regular,regular,0,
61049,1997,2,1997-08-28,regular,Western Michigan,Temple,Mid-American,Big East,34,14,0,regular,regular,0,
61047,1997,2,1997-08-28,regular,Ohio,Kent State,Mid-American,Mid-American,31,7,0,regular,regular,0,
61044,1997,2,1997-08-28,regular,Central Michigan,Northern Illinois,Mid-American,Mid-American,44,10,0,regular,regular,0,
61048,1997,2,1997-08-28,regular,Ohio State,Wyoming,Big Ten,Western Athletic,24,10,0,regular,regular,0,
61046,1997,2,1997-08-28,regular,Kansas,UAB,Big 12,FBS Independents,24,0,0,regular,regular,0,
61045,1997,2,1997-08-28,regular,Cincinnati,Tulsa,Conference USA,Western Athletic,34,24,0,regular,regular,0,
61058,1997,2,1997-08-30,regular,Hawai'i,Minnesota,Western Athletic,Big Ten,17,3,0,regular,regular,0,
61063,1997,2,1997-08-30,regular,Miami (OH),Ball State,Mid-American,Mid-American,27,10,0,regular,regular,0,
61059,1997,2,1997-08-30,regular,Kentucky,Louisville,SEC,Conference USA,38,24,0,regular,regular,0,
61071,1997,2,1997-08-30,regular,Tennessee,Texas Tech,SEC,Big 12,52,17,0,regular,regular,0,
61051,1997,2,1997-08-30,regular,Alabama,Houston,SEC,Conference USA,42,17,0,regular,regular,0,
61065,1997,2,1997-08-30,regular,Mississippi State,Memphis,SEC,Conference USA,13,10,0,regular,regular,0,
61062,1997,2,1997-08-30,regular,Baylor,Miami,Big 12,Big East,14,45,0,regular,regular,0,
61050,1997,2,1997-08-30,regular,Air Force,Idaho,Western Athletic,Big West,14,10,0,regular,regular,0,
61064,1997,2,1997-08-30,regular,Ole Miss,UCF,SEC,FBS Independents,24,23,0,regular,regular,0,
61052,1997,2,1997-08-30,regular,Arizona State,New Mexico State,Pac-10,Big West,41,10,0,regular,regular,0,
61068,1997,2,1997-08-30,regular,Syracuse,NC State,Big East,ACC,31,32,0,regular,regular,0,
61054,1997,2,1997-08-30,regular,Colorado State,Nevada,Western Athletic,Big West,45,13,0,regular,regular,0,
61055,1997,2,1997-08-30,regular,Florida,Southern Miss,SEC,Conference USA,21,6,0,regular,regular,0,
61060,1997,2,1997-08-30,regular,Louisiana Tech,Bowling Green,FBS Independents,Mid-American,30,23,0,regular,regular,0,
61057,1997,2,1997-08-30,regular,Georgia,Arkansas State,SEC,FBS Independents,38,7,0,regular,regular,0,
61069,1997,2,1997-08-30,regular,Iowa State,Oklahoma State,Big 12,Big 12,14,21,0,regular,regular,0,
61070,1997,2,1997-08-30,regular,Pittsburgh,Louisiana,Big East,FBS Independents,45,13,0,regular,regular,0,
61073,1997,2,1997-08-30,regular,Vanderbilt,North Texas,SEC,Big West,29,12,0,regular,regular,0,
61075,1997,2,1997-08-30,regular,Washington State,UCLA,Pac-10,Pac-10,37,34,0,regular,regular,0,
61072,1997,2,1997-08-30,regular,Utah,Utah State,Western Athletic,Big West,14,21,0,regular,regular,0,
61074,1997,2,1997-08-30,regular,Rutgers,Virginia Tech,Big East,Big East,19,59,0,regular,regular,0,
61076,1997,2,1997-08-30,regular,West Virginia,Marshall,Big East,Mid-American,42,31,0,regular,regular,0,
61066,1997,2,1997-08-30,regular,Nebraska,Akron,Big 12,Mid-American,59,14,0,regular,regular,0,
61077,1997,3,1997-09-04,regular,Virginia,Auburn,ACC,SEC,17,28,0,regular,regular,0,
61078,1997,3,1997-09-04,regular,Oregon,Arizona,Pac-10,Pac-10,16,9,0,regular,regular,0,
61079,1997,3,1997-09-05,regular,San Diego State,Navy,Western Athletic,FBS Independents,45,31,0,regular,regular,0,
