elo_weight,coe_weight,brier_score
0.8,0.2,0.17704363193883588
0.85,0.15,0.17707485316054675
0.75,0.25,0.177214325900767
0.9,0.1,0.17730219807839545
0.95,0.05,0.17771933570134607
1.0,0.0,0.17831937248726606
0.6,0.4,0.1789878212505265
0.5,0.5,0.1812612335370049
0.4,0.6,0.1844320227332119
0.25,0.75,0.19087796178629585
