team_id,season_year,game_coe_total,bonus_total,season_coe2,games_counted,formula_version
90,1982,0.0,0.0,0.0,0,coe2_bonus_v1
96,1982,0.0,0.0,0.0,0,coe2_bonus_v1
106,1982,0.0,0.0,0.0,0,coe2_bonus_v1
121,1982,0.0,0.0,0.0,0,coe2_bonus_v1
122,1982,0.0,0.0,0.0,0,coe2_bonus_v1
123,1982,0.0,0.0,0.0,0,coe2_bonus_v1
125,1982,0.0,0.0,0.0,0,coe2_bonus_v1
126,1982,0.0,0.0,0.0,0,coe2_bonus_v1
129,1982,0.0,0.0,0.0,0,coe2_bonus_v1
130,1982,0.0,0.0,0.0,0,coe2_bonus_v1
131,1982,0.0,0.0,0.0,0,coe2_bonus_v1
133,1982,0.0,0.0,0.0,0,coe2_bonus_v1
1,1983,0.0,0.0,0.0,0,coe2_bonus_v1
8,1983,0.0,0.0,0.0,0,coe2_bonus_v1
14,1983,0.0,0.0,0.0,0,coe2_bonus_v1
18,1983,0.0,0.0,0.0,0,coe2_bonus_v1
25,1983,0.0,0.0,0.0,0,coe2_bonus_v1
31,1983,0.0,0.0,0.0,0,coe2_bonus_v1
33,1983,0.0,0.0,0.0,0,coe2_bonus_v1
34,1983,0.0,0.0,0.0,0,coe2_bonus_v1
35,1983,0.0,0.0,0.0,0,coe2_bonus_v1
37,1983,0.0,0.0,0.0,0,coe2_bonus_v1
42,1983,0.0,0.0,0.0,0,coe2_bonus_v1
54,1983,0.0,0.0,0.0,0,coe2_bonus_v1
69,1983,0.0,0.0,0.0,0,coe2_bonus_v1
71,1983,0.0,0.0,0.0,0,coe2_bonus_v1
74,1983,0.0,0.0,0.0,0,coe2_bonus_v1
78,1983,0.0,0.0,0.0,0,coe2_bonus_v1
79,1983,0.0,0.0,0.0,0,coe2_bonus_v1
86,1983,0.0,0.0,0.0,0,coe2_bonus_v1
87,1983,0.0,0.0,0.0,0,coe2_bonus_v1
88,1983,0.0,0.0,0.0,0,coe2_bonus_v1
89,1983,0.0,0.0,0.0,0,coe2_bonus_v1
90,1983,0.0,0.0,0.0,0,coe2_bonus_v1
96,1983,0.0,0.0,0.0,0,coe2_bonus_v1
106,1983,0.0,0.0,0.0,0,coe2_bonus_v1
121,1983,0.0,0.0,0.0,0,coe2_bonus_v1
122,1983,0.0,0.0,0.0,0,coe2_bonus_v1
123,1983,0.0,0.0,0.0,0,coe2_bonus_v1
125,1983,0.0,0.0,0.0,0,coe2_bonus_v1
126,1983,0.0,0.0,0.0,0,coe2_bonus_v1
127,1983,0.0,0.0,0.0,0,coe2_bonus_v1
129,1983,0.0,0.0,0.0,0,coe2_bonus_v1
130,1983,0.0,0.0,0.0,0,coe2_bonus_v1
132,1983,0.0,0.0,0.0,0,coe2_bonus_v1
135,1983,0.0,0.0,0.0,0,coe2_bonus_v1
1,1984,0.0,0.0,0.0,0,coe2_bonus_v1
7,1984,0.0,0.0,0.0,0,coe2_bonus_v1
8,1984,0.0,0.0,0.0,0,coe2_bonus_v1
14,1984,0.0,0.0,0.0,0,coe2_bonus_v1
18,1984,0.0,0.0,0.0,0,coe2_bonus_v1
25,1984,0.0,0.0,0.0,0,coe2_bonus_v1
31,1984,0.0,0.0,0.0,0,coe2_bonus_v1
33,1984,0.0,0.0,0.0,0,coe2_bonus_v1
34,1984,0.0,0.0,0.0,0,coe2_bonus_v1
35,1984,0.0,0.0,0.0,0,coe2_bonus_v1
38,1984,0.0,0.0,0.0,0,coe2_bonus_v1
40,1984,0.0,0.0,0.0,0,coe2_bonus_v1
42,1984,0.0,0.0,0.0,0,coe2_bonus_v1
52,1984,0.0,0.0,0.0,0,coe2_bonus_v1
53,1984,0.0,0.0,0.0,0,coe2_bonus_v1
69,1984,0.0,0.0,0.0,0,coe2_bonus_v1
70,1984,0.0,0.0,0.0,0,coe2_bonus_v1
71,1984,0.0,0.0,0.0,0,coe2_bonus_v1
73,1984,0.0,0.0,0.0,0,coe2_bonus_v1
76,1984,0.0,0.0,0.0,0,coe2_bonus_v1
78,1984,0.0,0.0,0.0,0,coe2_bonus_v1
79,1984,0.0,0.0,0.0,0,coe2_bonus_v1
80,1984,0.0,0.0,0.0,0,coe2_bonus_v1
89,1984,0.0,0.0,0.0,0,coe2_bonus_v1
90,1984,0.0,0.0,0.0,0,coe2_bonus_v1
91,1984,0.0,0.0,0.0,0,coe2_bonus_v1
92,1984,0.0,0.0,0.0,0,coe2_bonus_v1
106,1984,0.0,0.0,0.0,0,coe2_bonus_v1
109,1984,0.0,0.0,0.0,0,coe2_bonus_v1
122,1984,0.0,0.0,0.0,0,coe2_bonus_v1
123,1984,0.0,0.0,0.0,0,coe2_bonus_v1
125,1984,0.0,0.0,0.0,0,coe2_bonus_v1
126,1984,0.0,0.0,0.0,0,coe2_bonus_v1
127,1984,0.0,0.0,0.0,0,coe2_bonus_v1
128,1984,0.0,0.0,0.0,0,coe2_bonus_v1
130,1984,0.0,0.0,0.0,0,coe2_bonus_v1
132,1984,0.0,0.0,0.0,0,coe2_bonus_v1
133,1984,0.0,0.0,0.0,0,coe2_bonus_v1
87,1985,28.744611,0.0,28.744611,12,coe2_bonus_v1
25,1985,28.555181,0.0,28.555181,13,coe2_bonus_v1
52,1985,27.223467,0.0,27.223467,12,coe2_bonus_v1
69,1985,26.245514,0.0,26.245514,12,coe2_bonus_v1
130,1985,25.405678,0.0,25.405678,12,coe2_bonus_v1
36,1985,25.3042,0.0,25.3042,11,coe2_bonus_v1
18,1985,25.298473,0.0,25.298473,14,coe2_bonus_v1
53,1985,25.243647,0.0,25.243647,12,coe2_bonus_v1
127,1985,24.751712,0.0,24.751712,12,coe2_bonus_v1
37,1985,24.396824,0.0,24.396824,12,coe2_bonus_v1
121,1985,23.975251,0.0,23.975251,12,coe2_bonus_v1
83,1985,23.950616,0.0,23.950616,11,coe2_bonus_v1
133,1985,23.938226,0.0,23.938226,12,coe2_bonus_v1
8,1985,23.165505,0.0,23.165505,12,coe2_bonus_v1
15,1985,22.672639,0.0,22.672639,12,coe2_bonus_v1
71,1985,22.573948,0.0,22.573948,12,coe2_bonus_v1
90,1985,22.100051,0.0,22.100051,12,coe2_bonus_v1
78,1985,21.675082,0.0,21.675082,11,coe2_bonus_v1
116,1985,21.623628,0.0,21.623628,11,coe2_bonus_v1
125,1985,21.466402,0.0,21.466402,11,coe2_bonus_v1
22,1985,21.412355,0.0,21.412355,12,coe2_bonus_v1
35,1985,20.953851,0.0,20.953851,12,coe2_bonus_v1
126,1985,20.422072,0.0,20.422072,11,coe2_bonus_v1
124,1985,20.289331,0.0,20.289331,10,coe2_bonus_v1
31,1985,20.065767,0.0,20.065767,12,coe2_bonus_v1
70,1985,20.041902,0.0,20.041902,12,coe2_bonus_v1
122,1985,19.63777,0.0,19.63777,12,coe2_bonus_v1
123,1985,19.510973,0.0,19.510973,12,coe2_bonus_v1
16,1985,19.208547,0.0,19.208547,11,coe2_bonus_v1
89,1985,19.152392,0.0,19.152392,11,coe2_bonus_v1
105,1985,18.89674,0.0,18.89674,12,coe2_bonus_v1
