end_year,window_start,window_end,team_name,coeff_5yr
2019,2015,2019,Texas,8.658188
2019,2015,2019,Northwestern,8.473709
2019,2015,2019,Florida,8.434703
2019,2015,2019,TCU,7.92493
2019,2015,2019,Penn State,7.90537
2019,2015,2019,Washington State,7.741595
2019,2015,2019,Michigan,7.709128
2019,2015,2019,Miami (FL),6.897343
2019,2015,2019,Michigan State,6.777201
2019,2015,2019,Pittsburgh,6.681795
2019,2015,2019,Arizona State,6.088204
2019,2015,2019,Virginia Tech,5.885255
2019,2015,2019,West Virginia,5.731914
2019,2015,2019,Tennessee,5.636245
2019,2015,2019,California,5.570721
2019,2015,2019,Texas A&M,5.560164
2019,2015,2019,Florida State,5.529474
2019,2015,2019,Ole Miss,5.352774
2019,2015,2019,Baylor,5.274248
2019,2015,2019,Iowa State,5.055549
2019,2015,2019,Kentucky,5.041865
2019,2015,2019,Minnesota,5.023066
2019,2015,2019,Kansas State,5.01626
2019,2015,2019,Mississippi State,4.613925
2019,2015,2019,Louisville,4.597709
2019,2015,2019,UCLA,4.520599
2019,2015,2019,Duke,4.495389
2019,2015,2019,Boise State,4.49082
2019,2015,2019,NC State,4.4002
2019,2015,2019,Georgia Tech,4.260381
2019,2015,2019,South Carolina,4.222062
2019,2015,2019,North Carolina,4.18378
2019,2015,2019,UCF,4.178099
2019,2015,2019,Syracuse,4.1288
2019,2015,2019,San Diego State,3.927391
2019,2015,2019,Wake Forest,3.871116
2019,2015,2019,BYU,3.727021
2019,2015,2019,Nebraska,3.643085
2019,2015,2019,Navy,3.619167
2019,2015,2019,Virginia,3.603038
2019,2015,2019,Purdue,3.562765
2019,2015,2019,Colorado,3.544859
2019,2015,2019,Memphis,3.503288
2019,2015,2019,Texas Tech,3.461296
2019,2015,2019,Arkansas,3.414362
2019,2015,2019,Houston,3.371231
2019,2015,2019,Arizona,3.334754
2019,2015,2019,Boston College,3.178338
2019,2015,2019,Cincinnati,2.924371
2019,2015,2019,Missouri,2.896273
2019,2015,2019,Air Force,2.857085
2019,2015,2019,Toledo,2.680141
2019,2015,2019,South Florida,2.604838
